Opponent Decklist,Result
Anointed Peacekeeper | City of Traitors | Mox Pearl,0.0
Atraxi Warden | Balance | Remote Farm,-1.0
Balance | Dunes of the Dead | Mox Pearl,0.0
Bayou | Hexdrinker | Shrieking Affliction,0.0
"Bottomless Vault | Murderous Rider | Ulamog, the Infinite Gyre",-1.0
Bottomless Vault | Murderous Rider | Unearth,0.0
Cathedral of War | Inkmoth Nexus | Maze of Ith,-1.0
"Cavern of Souls | Emmara, Soul of the Accord | Gnarlroot Trapper",-1.0
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",-1.0
Chronomaton | Encroach | Swamp,0.0
City of Traitors | Levitating Statue | Tel-Jilad Stylus,1.0
City of Traitors | Lupine Prototype | Lupine Prototype,-1.0
"Davriel, Rogue Shadowmage | Mana Crypt | Swamp",1.0
Daze | Island | Sleep-Cursed Faerie,0.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Hickory Woodlot | Mayor of Avabruck | Naturalize,-1.0
Hickory Woodlot | Welcome to Sweettooth | Wheel of Sun and Moon,0.0
Inkmoth Nexus | Karakas | Leyline of Singularity,0.0
Lotus Bloom | Lotus Bloom | Primordial Hydra,1.0
Lupine Prototype | Mishra's Workshop | Trinisphere,-1.0
Lupine Prototype | Mishra's Workshop | Wheel of Torture,-1.0
Mishra's Workshop | Phyrexian Dreadnought | Torpor Orb,0.0
Retrofitter Foundry | The Mycosynth Gardens | Tolarian Academy,0.0
Sandstone Needle | Shattering Spree | Vexing Shusher,-1.0
"Boseiju, Who Endures | Hickory Woodlot | Mayor of Avabruck",-1.0
Cabal Therapy | Inkmoth Nexus | Urborg,0.0
Cenn's Tactician | Curse of Silence | Plains,0.0
Chaplain of Alms | Karakas | Leyline of Singularity,-0.5
Chronomaton | Icatian Javelineers | Karakas,0.0
City of Traitors | Geth's Verdict | Isochron Scepter,-1.0
City of Traitors | Maze of Ith | Retrofitter Foundry,0.0
City of Traitors | Mishra's Workshop | Stuffy Doll,1.0
City of Traitors | Pithing Needle | Retrofitter Foundry,0.0
Commandeer | Mental Misstep | Snapback,1.0
Doomed Traveler | Karakas | Leyline of Singularity,-0.5
Eternal Scourge | Fountain of Cho | Path to Exile,1.0
Forest | Mind Swords | Young Wolf,1.0
Grafdigger's Cage | Mana Clash | Snow-Covered Mountain,1.0
Hushbringer | Phyrexian Dreadnought | Remote Farm,1.0
Karakas | Mana Tithe | Memnite,1.0
Karakas | Mox Pearl | Skrelv's Hive,0.0
Karakas | Rishadan Port | Swooping Lookout,1.0
Leyline of Sanctity | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
Lupine Prototype | Lupine Prototype | Mishra's Workshop,-1.0
Bayou | Cabal Therapy | Young Wolf,0.5
Blazing Rootwalla | Burning Inquiry | Mountain,0.0
Cenn's Tactician | Path to Exile | Plains,0.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Fury | Wasteland,-1.0
Chancellor of the Forge | Karakas | Leyline of Singularity,-1.0
Chronomaton | Dismember | Wasteland,-0.5
City of Traitors | Lion's Eye Diamond | Starnheim Unleashed,0.0
City of Traitors | Phyrexian Revoker | Wasteland,1.0
Divine Gambit | Remote Farm | Skrelv's Hive,-1.0
Ensnaring Bridge | Mishra's Workshop | Scalding Tongs,-1.0
Force of Despair | Memnite | Unmask,-0.5
Gisa's Bidding | Lion's Eye Diamond | Nether Spirit,1.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",0.0
"Lion's Eye Diamond | Shelldock Isle | Ulamog, the Infinite Gyre",1.0
Lupine Prototype | Mana Crypt | Phyrexian Revoker,0.0
Lupine Prototype | Mishra's Workshop | Pithing Needle,-1.0
Mayor of Avabruck | Mox Emerald | Wasteland,0.0
Mind Rake | Mishra's Factory | Mox Jet,0.0
Mishra's Factory | The Rack | Wasteland,1.0
"Mox Jet | Valki, God of Lies | Wasteland",0.0
