,Result
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Dismember | Phyrexian Revoker,-1.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,0.0
Angel of Sanctions | Fountain of Cho | Solitude,-1.0
Angel of Sanctions | Icatian Store | Solitude,-1.0
Anvil of Bogardan | Crystal Vein | Nether Spirit,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Bottomless Vault | Nether Spirit | Smallpox,0.0
Calciform Pools | Mirrex | Soul Partition,-1.0
Chaplain of Alms | Karakas | Leyline of Singularity,-1.0
Crawling Chorus | Sea's Claim | Tundra,1.0
Crystal Vein | Lodestone Golem | Mana Crypt,1.0
Dark Ritual | Swamp | Unstoppable Slasher,0.0
Dismember | Eldrazi Temple | Idol of False Gods,-1.0
Dreams of Steel and Oil | Scythe Tiger | Undiscovered Paradise,0.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",0.0
Eldrazi Temple | Idol of False Gods | Mental Misstep,-1.0
"Elspeth, Sun's Champion | Lotus Bloom | Lotus Bloom",1.0
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",0.0
Fountain of Cho | Serra the Benevolent | Solitude,-1.0
Gemstone Mine | Greater Gargadon | Restore Balance,1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,1.0
Ice Floe | Living Conundrum | Sand Silos,-1.0
"Interplanar Beacon | Mana Vault | Minsc & Boo, Timeless Heroes",1.0
Invasion of Gobakhan | Mox Pearl | Mutavault,0.0
Karakas | Leyline of Singularity | Sacred Cat,-1.0
"Krenko, Baron of Tin Street | Mana Crypt | Mox Ruby",0.0
Living Conundrum | Mental Misstep | Sand Silos,-1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,-1.0
March from the Black Gate | Mox Jet | Mutavault,0.0
Mox Emerald | Mutavault | Outland Liberator,0.0
"Mox Pearl | Mutavault | Phelia, Exuberant Shepherd",0.0
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",1.0
Peat Bog | Smallpox | Tribute to Horobi,1.0
"Phelia, Exuberant Shepherd | Prairie Dog | Remote Farm",1.0
Prairie Dog | Prairie Dog | Remote Farm,1.0
Prairie Dog | Remote Farm | Soul Partition,1.0
Sarcomancy | Snow-Covered Swamp | Tel-Jilad Stylus,1.0
Sarcomancy | Swamp | Tel-Jilad Stylus,1.0
