Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
"Aether Vial | Desert | Grist, the Hunger Tide",0.5
"Ajani, Nacatl Pariah | Divine Gambit | Remote Farm",0.0
"Ajani, Nacatl Pariah | Prairie Dog | Remote Farm",-0.5
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Isochron Scepter | Verdant Command,-1.0
Archon of Absolution | Detention Vortex | Icatian Store,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,1.0
Blinkmoth Nexus | Invasion of Gobakhan | Mox Pearl,1.0
Contagion | Dryad Arbor | Unmask,1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,-1.0
Dark Ritual | Master of the Feast | Swamp,1.0
Dark Ritual | Swamp | Unstoppable Slasher,-1.0
Daze | Hexdrinker | Tropical Island,0.0
Daze | Island | Sleep-Cursed Faerie,1.0
Daze | Sleep-Cursed Faerie | Underground Sea,1.0
Divine Gambit | Remote Farm | Skrelv's Hive,-1.0
Dreadhorde Invasion | Peat Bog | Smallpox,-1.0
Dreams of Steel and Oil | Hexdrinker | Undiscovered Paradise,0.0
Dryad Arbor | Force of Despair | Unmask,1.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",-1.0
Encroach | Sleep-Cursed Faerie | Undiscovered Paradise,0.0
Forest | Mishra's Factory | Pick Your Poison,1.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,-1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-1.0
"Golgari Rot Farm | Grist, the Hunger Tide | Mishra's Factory",-1.0
Hammerheim | Heartfire Hero | Mental Misstep,-1.0
Hexdrinker | Ruthless Negotiation | Undiscovered Paradise,0.0
"Hexdrinker | The Tabernacle at Pendrell Vale | Yavimaya, Cradle of Growth",0.0
Island | Mark of Eviction | Sleep-Cursed Faerie,1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,0.0
Mishra's Factory | Mox Pearl | Skrelv's Hive,-1.0
Murderous Rider | Subterranean Hangar | The Tabernacle at Pendrell Vale,0.0
Prairie Dog | Prairie Dog | Remote Farm,-1.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",0.0
Rushwood Grove | Scythe Tiger | Serene Remembrance,0.0
