Opponent Decklist,Result
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,-1.0
Ancient Tomb | Chalice of the Void | Phyrexian Revoker,0.0
Ancient Tomb | Goblin Rabblemaster | Mox Ruby,-1.0
Assassin's Trophy | Dryad Arbor | Volatile Fault,0.5
Bottomless Vault | Dino DNA | Gingerbrute,1.0
Cavern of Souls | Glittering Lynx | Scythe Tiger,1.0
Cenn's Tactician | Path to Exile | Plains,-1.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Fountain of Cho | Gideon of the Trials,1.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",0.0
Claim | Judge's Familiar | Scrubland,1.0
"Contested Game Ball | Icatian Store | Tomorrow, Azami's Familiar",1.0
Copperline Gorge | Crack the Earth | Crashing Footfalls,1.0
"Dwarven Hold | Fury | Squee, the Immortal",1.0
Foil | Island | The Tabernacle at Pendrell Vale,0.0
Force of Despair | Grief | Memnite,0.0
Forest | Haywire Mite | Swarm Shambler,-1.0
Guul Draz Assassin | Karakas | Swamp,-1.0
Island Sanctuary | Mox Pearl | Volatile Fault,0.0
Karakas | Mana Tithe | Path to Exile,0.5
Nether Spirit | Simian Spirit Guide | Sonic Seizure,1.0
Ancient Tomb | Archfiend of Spite | Diamond Lion,-1.0
Approach of the Second Sun | Fountain of Cho | Swords to Plowshares,1.0
Battlefield Raptor | Karakas | Leyline of Sanctity,1.0
Bayou | Evil Presence | Swarm Shambler,1.0
Bayou | Funeral Charm | Swarm Shambler,0.0
Bitterblossom | Mox Jet | Rishadan Port,-1.0
Cabal Therapy | Piracy Charm | Underground Sea,0.5
Cenn's Tactician | Karakas | Leyline of Singularity,-0.5
Chancellor of the Forge | Foil | Snow-Covered Island,-1.0
"Channel | Emrakul, the Aeons Torn | Hickory Woodlot",-0.5
Chronosavant | Icatian Store | Seasoned Hallowblade,1.0
Crashing Footfalls | Path to Exile | Savannah,0.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",1.0
Dryad Arbor | Dryad Arbor | Lush Growth,1.0
Energy Field | Saprazzan Skerry | The Millennium Calendar,0.0
Energy Field | Sleeper Agent | Sulfur Vent,-1.0
Field of Ruin | Retrofitter Foundry | Sol Ring,-1.0
Funeral Charm | Rimebound Dead | Snow-Covered Swamp,0.0
"Fynn, the Fangbearer | Hickory Woodlot | Outland Liberator",-1.0
Hexdrinker | Icehide Golem | Snow-Covered Forest,-1.0
"Hunted Horror | The Tabernacle at Pendrell Vale | Urborg, Tomb of Yawgmoth",0.0
Island | Mishra's Factory | Sleep-Cursed Faerie,0.0
"Lair of the Hydra | Llanowar Mentor | Ulamog, the Infinite Gyre",-1.0
"Smallpox | The Tabernacle at Pendrell Vale | Urborg, Tomb of Yawgmoth",1.0
"Boseiju, Who Endures | Hickory Woodlot | Mayor of Avabruck",-1.0
Cabal Therapy | Inkmoth Nexus | Urborg,0.0
Cathedral of War | Inkmoth Nexus | Maze of Ith,0.0
Cenn's Tactician | Curse of Silence | Plains,0.0
Chalice of the Void | Crystalline Giant | Mishra's Workshop,0.0
Chaplain of Alms | Karakas | Leyline of Singularity,0.0
Chronomaton | Icatian Javelineers | Karakas,0.0
City of Traitors | Geth's Verdict | Isochron Scepter,-1.0
City of Traitors | Maze of Ith | Retrofitter Foundry,-1.0
City of Traitors | Mishra's Workshop | Stuffy Doll,1.0
City of Traitors | Pithing Needle | Retrofitter Foundry,-1.0
Commandeer | Mental Misstep | Snapback,0.0
Doomed Traveler | Karakas | Leyline of Singularity,0.0
Eternal Scourge | Fountain of Cho | Path to Exile,1.0
Forest | Mind Swords | Young Wolf,1.0
Grafdigger's Cage | Mana Clash | Snow-Covered Mountain,1.0
Hushbringer | Phyrexian Dreadnought | Remote Farm,-1.0
Karakas | Mana Tithe | Memnite,0.0
Karakas | Rishadan Port | Swooping Lookout,1.0
Leyline of Sanctity | Lion's Eye Diamond | Shadowgrange Archfiend,-1.0
Lupine Prototype | Lupine Prototype | Mishra's Workshop,-1.0
