Opponent Decklist,Result
Ancient Tomb | Magus of the Moon | Mox Ruby,0.0
Ancient Tomb | Magus of the Moon | Simian Spirit Guide,0.0
Ancient Tomb | Noxious Revival | Porcelain Legionnaire,0.0
Archon of Absolution | Cloudchaser Kestrel | Icatian Store,1.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,-1.0
Cenn's Tactician | Karakas | Leyline of Singularity,1.0
Cenn's Tactician | Path to Exile | Plains,-1.0
Chancellor of the Forge | Dwarven Hold | Wild Magic Surge,1.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",1.0
Chronomaton | Funeral Charm | Snow-Covered Swamp,-1.0
Crack the Earth | Crashing Footfalls | Undiscovered Paradise,0.0
Crashing Footfalls | Forest | Swarm Shambler,-1.0
Crashing Footfalls | Path to Exile | Undiscovered Paradise,0.0
Crystal Vein | Magus of the Moon | Mox Ruby,0.0
"Dwarven Hold | Fury | Squee, the Immortal",-1.0
Dwarven Hold | Hammer of Bogardan | Maze of Ith,1.0
"Elspeth, Sun's Champion | Icatian Store | Maze of Ith",1.0
Hollow Trees | Subterranean Hangar | Vraska the Unseen,1.0
Inkmoth Nexus | Karakas | Soul Partition,1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Mutavault | Retrofitter Foundry | Sol Ring,-1.0
Ornithopter | Retrofitter Foundry | Tolarian Academy,-1.0
Phyrexian Dreadnought | Sand Silos | Stifle,1.0
Piracy Charm | Swarm Shambler | Tropical Island,0.0
Remote Farm | Skrelv's Hive | Soul Partition,1.0
"Ajani, Nacatl Pariah | Prairie Dog | Remote Farm",1.0
Ancient Tomb | Steel Overseer | Steel Overseer,0.0
Angel of Sanctions | Icatian Store | Maze of Ith,1.0
Bandit's Talent | Mishra's Factory | Mox Jet,-1.0
Bayou | Dreams of Steel and Oil | Hexdrinker,0.0
"Boseiju, Who Endures | Fungal Reaches | Lair of the Hydra",1.0
"Boseiju, Who Endures | Sunken Citadel | Treetop Village",1.0
Chancellor of the Forge | Chancellor of the Forge | Pyrokinesis,-1.0
Chancellor of the Forge | Dwarven Hold | Pyrokinesis,-1.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,-1.0
Curse of Silence | Ocelot Pride | Plains,-0.5
Dismember | Hammerheim | Heartfire Hero,-1.0
Dismember | Ocelot Pride | Plains,-1.0
Dreadhorde Invasion | Peat Bog | Smallpox,1.0
Flash | Saprazzan Skerry | Worldspine Wurm,1.0
Forest | Hexdrinker | Hexdrinker,-1.0
Grove of the Burnwillows | Punishing Fire | Undiscovered Paradise,-1.0
"Icatian Store | Runed Halo | Ulamog, the Infinite Gyre",1.0
Restore Balance | Skrelv's Hive | Undiscovered Paradise,0.5
Scythe Tiger | Thoughtseize | Undiscovered Paradise,0.0
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise,0.0
Ancient Tomb | Field of Ruin | Phyrexian Revoker,-0.5
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,0.0
Bayou | Hexdrinker | Thoughtseize,0.0
Bitterblossom | Mox Jet | Rishadan Port,-1.0
Bitterblossom | Peat Bog | Smallpox,1.0
Cavern of Souls | Hexdrinker | Rishadan Port,0.0
Chancellor of the Annex | Icatian Store | Solitude,-1.0
"Chancellor of the Annex | Jace, Wielder of Mysteries | Sand Silos",-1.0
Chancellor of the Annex | Memnite | Solitude,-1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",1.0
Deep-Cavern Bat | Mishra's Factory | Mox Jet,-1.0
Deep-Cavern Bat | Mox Jet | Rishadan Port,-1.0
Inkmoth Nexus | Mox Jet | Nezumi Shortfang,-1.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Mishra's Factory | Mox Jet | Thoughtseize,0.0
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,0.0
Ancient Tomb | Field of Ruin | Hangarback Walker,-1.0
Ancient Tomb | Hangarback Walker | Steel Overseer,0.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,0.0
Arcbound Ravager | Field of Ruin | Mana Crypt,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Bayou | Scythe Tiger | Thoughtseize,0.0
"Bottomless Vault | Ghalta and Mavren | Sorin, Imperious Bloodlord",1.0
Bottomless Vault | Nether Spirit | Smallpox,1.0
"Bottomless Vault | Smallpox | Ulamog, the Infinite Gyre",1.0
Cathedral of War | Inkmoth Nexus | Inkmoth Nexus,1.0
Cathedral of War | Inkmoth Nexus | Steel Overseer,-1.0
Cenn's Tactician | Encroach | Scrubland,0.0
Cenn's Tactician | Pick Your Poison | Savannah,1.0
Chancellor of the Forge | Fury | Mercadian Bazaar,-1.0
Cruel Sadist | Encroach | Snow-Covered Swamp,-1.0
Dark Depths | Peat Bog | Vampire Hexmage,1.0
Dryad Arbor | Force of Despair | Unmask,-1.0
Dwarven Hold | Form of the Dragon | Maze of Ith,1.0
Encroach | Fourth Bridge Prowler | Snow-Covered Swamp,0.0
Field of Ruin | Hickory Woodlot | Outland Liberator,1.0
Forest | Hexdrinker | Pick Your Poison,-1.0
High Market | Mox Opal | Sinister Concierge,1.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,-1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Mishra's Factory | Mox Emerald | The Foretold Soldier,-1.0
Nether Spirit | Peat Bog | Smallpox,1.0
Pardic Dragon | Sandstone Needle | Wild Magic Surge,1.0
Ancient Tomb | Demolition Field | Phyrexian Revoker,-0.5
Ancient Tomb | Drillworks Mole | Sphere of Resistance,0.0
Assassin's Trophy | Dryad Arbor | Geothermal Crevice,1.0
Crystal Vein | Glass-Cast Heart | Mox Jet,0.0
Dark Ritual | Swamp | Unstoppable Slasher,-1.0
Encroach | Sleep-Cursed Faerie | Undiscovered Paradise,0.0
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",-1.0
"Mox Pearl | Mutavault | Phelia, Exuberant Shepherd",-1.0
Mox Pearl | Prairie Dog | Rishadan Port,-1.0
Narnam Renegade | Student of Warfare | Undiscovered Paradise,0.5
"Phelia, Exuberant Shepherd | Prairie Dog | Remote Farm",1.0
Sarcomancy | Swamp | Tel-Jilad Stylus,-1.0
