Opponent Decklist,Result
Bayou | Blackmail | Hexdrinker,0.0
Black Lotus | Black Lotus | Frost Titan,0.0
"Black Lotus | Channel | Emrakul, the Promised End",0.0
Black Lotus | Channel | Karn Liberated,0.0
"Black Lotus | Channel | Ulamog, the Infinite Gyre",0.0
Black Lotus | Dark Depths | Vampire Hexmage,0.0
Black Lotus | Gideon of the Trials | Leyline of Sanctity,0.5
Black Lotus | Gideon of the Trials | Pact of Negation,0.5
"Black Lotus | Leonin Squire | Tourach, Dread Cantor",0.0
Black Lotus | Manamorphose | Sprouting Thrinax,1.0
Black Lotus | Mayor of Avabruck | Mental Misstep,0.0
Black Lotus | Memnite | Wistful Thinking,0.0
Blackmail | Death's Shadow | Tarnished Citadel,0.0
"Boseiju, Who Endures | Hickory Woodlot | Wilson, Refined Grizzly",0.0
Cavern of Souls | Eater of Days | Mishra's Workshop,-1.0
Cavern of Souls | Hexdrinker | Karakas,0.5
Chalice of the Void | City of Traitors | Lupine Prototype,0.5
Chalice of the Void | City of Traitors | Phyrexian Revoker,1.0
Chancellor of the Forge | Chancellor of the Forge | Leyline of the Meek,1.0
Chancellor of the Forge | Contagion | Unmask,0.0
Chancellor of the Forge | Foil | Island,1.0
Chancellor of the Forge | Fury | Leyline of Lifeforce,1.0
Chancellor of the Forge | Lithomantic Barrage | Mountain,1.0
City of Traitors | Dark Depths | Thespian's Stage,-1.0
City of Traitors | Lupine Prototype | Phyrexian Revoker,0.5
City of Traitors | Phyrexian Revoker | The Tabernacle at Pendrell Vale,0.0
City of Traitors | Retrofitter Foundry | Sphere of Resistance,0.0
Copperline Gorge | Crack the Earth | Crashing Footfalls,1.0
Copperline Gorge | Flaxen Intruder | Lithomantic Barrage,0.5
Daze | Hexdrinker | Tropical Island,1.0
Dryad Arbor | Dryad Arbor | Treetop Village,1.0
Energy Field | Sleeper Agent | Sulfur Vent,1.0
Foil | Island | Nether Spirit,0.0
"Forced Adaptation | Hickory Woodlot | Wilson, Refined Grizzly",1.0
Fungal Reaches | Gnottvold Slumbermound | The Tabernacle at Pendrell Vale,0.0
Grove of the Burnwillows | Kavu Predator | Mox Emerald,0.0
Inkmoth Nexus | Karakas | Luminarch Aspirant,1.0
Inkmoth Nexus | Karakas | The Tabernacle at Pendrell Vale,-1.0
Mishra's Workshop | The Rack | The Rack,0.0
Alpine Moon | Cenn's Tactician | Plateau,0.0
Anointed Peacekeeper | City of Traitors | Mox Pearl,0.0
Atraxi Warden | Balance | Remote Farm,1.0
Balance | Crashing Footfalls | Tinder Farm,1.0
Balance | Dunes of the Dead | Mox Pearl,0.0
Bayou | Cabal Therapy | Young Wolf,0.5
Bayou | Hexdrinker | Shrieking Affliction,1.0
Blooming Marsh | Crashing Footfalls | Shrieking Affliction,1.0
"Bottomless Vault | Murderous Rider | Ulamog, the Infinite Gyre",0.0
Bottomless Vault | Murderous Rider | Unearth,0.5
Bottomless Vault | Nether Spirit | Smallpox,0.0
Cathedral of War | Inkmoth Nexus | Maze of Ith,-1.0
Cavern of Souls | Dismember | Swarm Shambler,0.0
"Cavern of Souls | Emmara, Soul of the Accord | Gnarlroot Trapper",1.0
Cenn's Tactician | Curse of Silence | Karakas,0.5
Chalice of the Void | Crystalline Giant | Mishra's Workshop,1.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,1.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",1.0
Chronomaton | Encroach | Swamp,0.0
City of Traitors | Levitating Statue | Tel-Jilad Stylus,1.0
City of Traitors | Lupine Prototype | Lupine Prototype,0.5
City of Traitors | Maze of Ith | Retrofitter Foundry,-0.5
City of Traitors | Retrofitter Foundry | Steel Overseer,0.0
City of Traitors | Retrofitter Foundry | The Filigree Sylex,0.0
Crashing Footfalls | Forest | Mental Misstep,1.0
"Davriel, Rogue Shadowmage | Mana Crypt | Swamp",1.0
Daze | Island | Sleep-Cursed Faerie,1.0
Dryad Arbor | Karakas | Leyline of Singularity,-1.0
"Dwarven Hold | Embereth Shieldbreaker | Ulamog, the Infinite Gyre",0.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",0.0
Force of Despair | Memnite | Unmask,0.0
Hexdrinker | Shrieking Affliction | Undiscovered Paradise,1.0
Hickory Woodlot | Mayor of Avabruck | Naturalize,1.0
Hickory Woodlot | Welcome to Sweettooth | Wheel of Sun and Moon,1.0
Inkmoth Nexus | Karakas | Leyline of Singularity,0.0
Lotus Bloom | Lotus Bloom | Primordial Hydra,1.0
Lupine Prototype | Mishra's Workshop | Trinisphere,0.0
Lupine Prototype | Mishra's Workshop | Wheel of Torture,-1.0
Mishra's Workshop | Phyrexian Dreadnought | Torpor Orb,-1.0
Mishra's Workshop | Phyrexian Revoker | Wheel of Torture,1.0
Retrofitter Foundry | The Mycosynth Gardens | Tolarian Academy,0.0
Sandstone Needle | Shattering Spree | Vexing Shusher,1.0
Shrieking Affliction | Swarm Shambler | Undiscovered Paradise,0.5
Alpine Moon | Gleeful Demolition | Great Furnace,0.0
