Opponent Decklist,Result
Blinkmoth Nexus | Chain of Smog | Mox Jet,-1.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,1.0
Dauthi Voidwalker | Peat Bog | Victim of Night,0.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.5
Alpine Moon | Swarm Shambler | Undiscovered Paradise,-1.0
Angel of Sanctions | Icatian Store | Solitude,1.0
Bayou | Cabal Therapy | Swarm Shambler,-1.0
Cenn's Tactician | Path to Exile | Plains,1.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Foil | Moonring Island,-1.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",0.0
Chronomaton | Funeral Charm | Snow-Covered Swamp,-0.5
Chronomaton | Island | Piracy Charm,-0.5
Crystal Vein | Mana Vault | Thought-Knot Seer,-1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",0.0
Get Lost | Remote Farm | Skrelv's Hive,1.0
Hickory Woodlot | Mayor of Avabruck | Outland Liberator,1.0
Inkmoth Nexus | Karakas | Porphyry Nodes,1.0
"Isamaru, Hound of Konda | Karakas | Porphyry Nodes",1.0
Karakas | Mana Tithe | Solitude,0.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,1.0
Mayor of Avabruck | Mox Emerald | Mutavault,0.0
Mayor of Avabruck | Mox Emerald | Volatile Fault,-1.0
Phyrexian Dreadnought | Saprazzan Skerry | Stifle,0.0
Declaration in Stone | Remote Farm | White Knight,-1.0
Devoted Druid | Quillspike | Rushwood Grove,1.0
Hollow Trees | Nullhide Ferox | The Tabernacle at Pendrell Vale,-1.0
Inkmoth Nexus | Mox Sapphire | Sphere of Resistance,-1.0
"Island | Lavinia, Azorius Renegade | Mox Pearl",-1.0
Alpine Moon | Crashing Footfalls | Undiscovered Paradise,-1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,-1.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,-1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,1.0
Augur of Skulls | Mishra's Factory | Mox Jet,0.0
Bad Moon | Bitterblossom | Peat Bog,1.0
Bayou | Crashing Footfalls | Funeral Charm,-0.5
Bayou | Scythe Tiger | Thoughtseize,-1.0
Bitterblossom | Feed the Swarm | Peat Bog,1.0
Bitterblossom | Mox Jet | Rishadan Port,1.0
Bitterblossom | Peat Bog | Smallpox,0.0
Blightsteel Colossus | Energy Field | Sand Silos,0.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,0.0
Bottomless Vault | Nether Spirit | Smallpox,1.0
Bottomless Vault | Ophiomancer | Tithing Blade,1.0
"Bottomless Vault | Smallpox | Ulamog, the Infinite Gyre",1.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,-1.0
Cenn's Tactician | Karakas | Portable Hole,1.0
Cenn's Tactician | Pick Your Poison | Savannah,1.0
Cenn's Tactician | Pick Your Poison | Undiscovered Paradise,1.0
Chancellor of the Forge | Foil | Undercity Sewers,-1.0
Chronomaton | Crashing Footfalls | Forest,1.0
Chronomaton | Piracy Charm | Snow-Covered Island,-0.5
Crashing Footfalls | Funeral Charm | Undiscovered Paradise,-0.5
Crashing Footfalls | Pick Your Poison | Snow-Covered Forest,1.0
Crashing Footfalls | Piracy Charm | Undiscovered Paradise,-0.5
Dark Depths | Peat Bog | Vampire Hexmage,-1.0
Dark Depths | Sunken Citadel | Thespian's Stage,0.0
"Energy Field | Sand Silos | Ulamog, the Ceaseless Hunger",0.0
Force of Despair | Grief | Memnite,-1.0
Forest | Hexdrinker | Pick Your Poison,1.0
Gifted Aetherborn | Peat Bog | Sinkhole,0.0
Island | Sleep-Cursed Faerie | Weakstone's Subjugation,1.0
Karakas | Meddling Mage | Mox Sapphire,-1.0
Mindlash Sliver | Subterranean Hangar | Tithing Blade,1.0
Mox Jet | Nezumi Shortfang | Rishadan Port,0.5
Reality Shift | Saprazzan Skerry | Watcher of Hours,1.0
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
"Ajani, Nacatl Pariah | Prairie Dog | Remote Farm",1.0
Akoum Warrior | Glimpse of Tomorrow | Pinnacle Monk,1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Magus of the Moon | Simian Spirit Guide,-1.0
Ancient Tomb | Steel Overseer | Steel Overseer,1.0
Angel of Sanctions | Icatian Store | Maze of Ith,1.0
"Armor of Thorns | Hickory Woodlot | Wilson, Refined Grizzly",1.0
Azure Beastbinder | Mana Drain | Saprazzan Skerry,0.5
Badlands | Blazing Rootwalla | Tinybones Joins Up,1.0
Bandit's Talent | Blinkmoth Nexus | Mox Jet,1.0
