Opponent Decklist,Result
Alpine Moon | Sandstone Needle | Stromkirk Noble,-1.0
Ancient Tomb | Isochron Scepter | Verdant Command,1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,-1.0
Bazaar of Baghdad | Bottomless Vault | Vengeful Pharaoh,-1.0
Cavern of Souls | Chancellor of the Annex | Hexdrinker,-1.0
"Chain of Vapor | Jace, Wielder of Mysteries | Saprazzan Cove",-1.0
Chancellor of the Annex | Chancellor of the Forge | Solitude,-1.0
Chancellor of the Annex | Fountain of Cho | Path to Exile,-1.0
Chancellor of the Annex | Fountain of Cho | The Wandering Emperor,-1.0
Chancellor of the Annex | Fountain of Cho | Werefox Bodyguard,-1.0
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
"Dark Depths | Lumbering Megasloth | Yavimaya, Cradle of Growth",-1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",0.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",0.0
Daze | Sacred Cat | Tundra,0.0
"Deep-Cavern Bat | Maze of Ith | Urborg, Tomb of Yawgmoth",-1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Fervent Champion | Sandstone Needle | Umezawa's Jitte,0.0
Field of Ruin | Sunken Citadel | Treetop Village,-1.0
Flash | Gruff Triplets | Saprazzan Skerry,1.0
Giant Strength | Lightning Mare | Sandstone Needle,0.0
Golgari Rot Farm | Hex Parasite | Maze of Ith,0.0
Hex Parasite | Mishra's Factory | Swamp,0.0
Hexdrinker | Portable Hole | Undiscovered Paradise,-1.0
Ian the Reckless | Mox Ruby | The Monumental Facade,1.0
"Inkmoth Nexus | Mire's Toll | Urborg, Tomb of Yawgmoth",0.0
"Inkmoth Nexus | Smallpox | Urborg, Tomb of Yawgmoth",0.0
"Island | Lavinia, Azorius Renegade | Mox Pearl",0.0
Kabira Crossroads | Providence | Speaker of the Heavens,-0.5
Karakas | Luminarch Aspirant | Mox Pearl,-1.0
Karakas | Meddling Mage | Mox Sapphire,-1.0
Leyline of Lifeforce | Llanowar Reborn | Scythe Tiger,-1.0
"Lightning Bolt | Mountain | Ragavan, Nimble Pilferer",1.0
Mother of Runes | Secluded Courtyard | Stormscape Apprentice,-1.0
"Ajani, Nacatl Pariah | Leonin Relic-Warder | Remote Farm",0.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,-1.0
Atraxi Warden | Prairie Dog | Remote Farm,-1.0
"Boseiju, Who Endures | Sunken Citadel | Treetop Village",-1.0
Bottomless Vault | Hive of the Eye Tyrant | Inquisition of Kozilek,-0.5
Chained to the Rocks | Ocelot Pride | Plateau,0.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Fury | Memnite,-1.0
Crawling Barrens | Debt of Loyalty | Fountain of Cho,1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,0.0
Crystal Vein | Memnite | Sphere of Resistance,0.0
Divine Gambit | Prairie Dog | Remote Farm,-1.0
Dreams of Steel and Oil | Scythe Tiger | Undiscovered Paradise,-0.5
Drownyard Temple | Hollow Trees | World Breaker,-0.5
Forest | Llanowar Mentor | Worldspine Wurm,-1.0
"Golgari Rot Farm | Grist, the Hunger Tide | Mishra's Factory",-1.0
"Lotus Bloom | Lotus Bloom | Vraska, Relic Seeker",1.0
Lurrus of the Dream-Den | Subterranean Hangar | Vampire of the Dire Moon,1.0
Mox Jet | Refurbished Familiar | Vault of Whispers,0.0
"Oboro, Palace in the Clouds | Scute Swarm | Simic Growth Chamber",-1.0
Aether Vial | Karakas | Mangara of Corondor,0.0
Assassin's Trophy | Geothermal Crevice | Reckless Waif,0.0
Augur of Skulls | Dark Ritual | Swamp,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
"Bottomless Vault | Smallpox | Ulamog, the Infinite Gyre",-1.0
City of Traitors | Elixir of Immortality | Hangarback Walker,-1.0
City of Traitors | Field of Ruin | Hangarback Walker,-1.0
City of Traitors | Hangarback Walker | Hangarback Walker,-1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
Crack the Earth | Forge Devil | Sandstone Needle,0.0
Energy Field | Island | Mutavault,1.0
Field of Ruin | Hangarback Walker | Sol Ring,0.0
Fountain of Cho | Porphyry Nodes | The Wandering Emperor,-1.0
Inkmoth Nexus | Invasion of Gobakhan | Mox Pearl,0.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,0.0
Innocent Blood | Sacred Cat | Scrubland,1.0
Invisible Stalker | Reality Shift | Saprazzan Skerry,1.0
Leyline of Sanctity | Remote Farm | Skrelv's Hive,1.0
"Lightning Bolt | Mercadian Bazaar | Squee, the Immortal",1.0
"Liliana, The Last Hope | Subterranean Hangar | Vadmir, New Blood",-1.0
Lore Broker | Saprazzan Skerry | Tide Shaper,0.0
Mox Emerald | Outland Liberator | Rishadan Port,-1.0
Prairie Dog | Remote Farm | Swarmyard,-1.0
