,Result
Aether Vial | Blightsteel Colossus | Elvish Spirit Guide,1.0
Ajani's Pridemate | Remote Farm | Soulmender,-1.0
Alpine Moon | Snow-Covered Mountain | Village Messenger,0.0
Ancient Tomb | Mox Jet | Rotting Regisaur,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,0.0
Bind the Monster | Gleeful Demolition | Silverbluff Bridge,0.0
Blazing Rootwalla | Foil | Volcanic Island,0.0
Calciform Pools | Restless Anchorage | Wind Zendikon,-1.0
Dakmor Salvage | Molten Vortex | Mountain,0.0
Flickering Ward | Plains | Speaker of the Heavens,0.5
Fountain of Cho | Porphyry Nodes | The Wandering Emperor,0.0
Homeward Path | Mox Sapphire | Volatile Stormdrake,0.0
Invasion of Gobakhan | Remote Farm | Westfold Rider,0.0
Karakas | Leyline of Singularity | Student of Warfare,0.0
"Malcolm, Alluring Scoundrel | Saprazzan Cove | Ulamog, the Infinite Gyre",-1.0
Memnite | Memnite | Memnite,0.0
Nether Spirit | Peat Bog | Smallpox,0.0
Overencumbered | Remote Farm | Scalding Tongs,1.0
Planar Nexus | Urza's Tower | Walking Ballista,0.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",0.0
