,Result
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Demolition Field | Phyrexian Revoker,-1.0
Ancient Tomb | Time Vault | Voltaic Servant,0.5
Crawling Chorus | Karakas | Leyline of Singularity,0.5
Crystal Vein | Overlord of the Mistmoors | Remote Farm,1.0
Dark Ritual | Swamp | Unstoppable Slasher,0.0
Dark Ritual | Swamp | Vampire Nighthawk,0.0
Dreadhorde Invasion | Hymn to Tourach | Peat Bog,1.0
Eldrazi Ravager | Exhume | Peat Bog,1.0
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",0.0
Generous Plunderer | Oni-Cult Anvil | Sandstone Needle,1.0
Island | Mark of Eviction | Sleep-Cursed Faerie,0.0
Island | Sea's Claim | Sleep-Cursed Faerie,0.0
Luminarch Aspirant | Luminarch Aspirant | Remote Farm,1.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,0.0
Piranha Marsh | Sarcomancy | Tel-Jilad Stylus,1.0
Prairie Dog | Remote Farm | Soul Partition,1.0
