,Result
Ancient Tomb | Mana Vault | Thought-Knot Seer,1.0
Azure Beastbinder | Saprazzan Skerry | Tide Shaper,1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,-1.0
Demolition Field | Idol of False Gods | Sol Ring,1.0
Dreadhorde Invasion | Peat Bog | Smallpox,-1.0
Dryad Arbor | Force of Negation | Mental Misstep,-1.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",-1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-0.5
Island | Sea's Claim | Sleep-Cursed Faerie,0.5
Karakas | Leyline of Singularity | Student of Warfare,0.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
"Mishra's Factory | Mox Pearl | Phelia, Exuberant Shepherd",-1.0
Mishra's Factory | Mox Pearl | Soul Partition,-1.0
Plains | Student of Warfare | Unwanted Remake,1.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
Remote Farm | Skrelv's Hive | Soul Partition,-1.0
Sarcomancy | Swamp | Tel-Jilad Stylus,1.0
Ancient Tomb | Dismember | Phyrexian Revoker,-1.0
Ancient Tomb | Lodestone Golem | Mana Vault,1.0
Angel of Sanctions | Fountain of Cho | Solitude,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Calciform Pools | Mirrex | Soul Partition,-1.0
Crawling Chorus | Sea's Claim | Tundra,1.0
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Dismember | Eldrazi Temple | Idol of False Gods,0.0
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",-1.0
Gemstone Mine | Greater Gargadon | Restore Balance,-1.0
"Interplanar Beacon | Mana Vault | Minsc & Boo, Timeless Heroes",1.0
"Krenko, Baron of Tin Street | Mana Crypt | Mox Ruby",-1.0
Living Conundrum | Mental Misstep | Sand Silos,-1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,1.0
"Mox Pearl | Mutavault | Phelia, Exuberant Shepherd",-1.0
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",0.0
Peat Bog | Smallpox | Tribute to Horobi,-1.0
Prairie Dog | Prairie Dog | Remote Farm,-1.0
