Opponent Decklist,Result
Ancient Tomb | Isochron Scepter | Verdant Command,0.0
"Arcbound Ravager | Mana Crypt | Syr Ginger, the Meal Ender",1.0
Archon of Cruelty | Lotus Bloom | Show and Tell,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Blightsteel Colossus | Dwarven Hold | Sneak Attack,1.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Pyrokinesis | Wasteland,0.0
Curse of Silence | Hexdrinker | Undiscovered Paradise,0.0
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Daze | Island | Sleep-Cursed Faerie,-1.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.0
Hexdrinker | Inquisition of Kozilek | Undiscovered Paradise,0.0
Island | Sleep-Cursed Faerie | Unable to Scream,-1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Mountain | Nether Spirit | Sonic Seizure,0.0
Mox Emerald | Outland Liberator | Wasteland,0.0
Sleep-Cursed Faerie | Tundra | Unwanted Remake,-1.0
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
Ancient Tomb | Dismember | Steel Overseer,0.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
Blinkmoth Nexus | Grove of the Burnwillows | Punishing Fire,0.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
Butcher Ghoul | Peat Bog | Smallpox,0.0
Copper Tablet | Get Lost | Remote Farm,0.0
Crack the Earth | Hammerheim | Heartfire Hero,-0.5
Cruel Sadist | Dreams of Steel and Oil | Snow-Covered Swamp,0.0
Cruel Sadist | Dreams of Steel and Oil | Swamp,0.0
"Dargo, the Shipwrecker | Great Furnace | Mana Crypt",1.0
Dark Ritual | Mox Jet | Phylactery Lich,1.0
"Emrakul, the Aeons Torn | Mercadian Bazaar | Sneak Attack",-1.0
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",0.0
"Generous Plunderer | Gut, True Soul Zealot | Sandstone Needle",1.0
Hammerheim | Heartfire Hero | Thud,-1.0
Hickory Woodlot | Verdant Command | Wheel of Sun and Moon,0.0
Hushbringer | Phyrexian Dreadnought | Remote Farm,-1.0
"Interplanar Beacon | Mana Vault | Minsc & Boo, Timeless Heroes",-1.0
Island Sanctuary | Remote Farm | Skrelv's Hive,1.0
Mana Tithe | Memnite | Plains,0.5
Ocelot Pride | Plains | Sheltered Valley,0.0
