Opponent Decklist,Result
Archery Training | Plains | Swooping Lookout,1.0
Banehound | Black Lotus | Smallpox,0.5
Barren Glory | Black Lotus | Black Lotus,-1.0
Big Game Hunter | Black Lotus | Smallpox,0.0
Black Lotus | Black Lotus | Mistcutter Hydra,-1.0
Black Lotus | Chancellor of the Annex | Steel Seraph,1.0
"Black Lotus | City of Traitors | Jace, Wielder of Mysteries",-1.0
Black Lotus | Dark Depths | Vampire Hexmage,-1.0
"Black Lotus | Dark Ritual | Liliana, Waker of the Dead",0.0
Black Lotus | Descent into Avernus | Underhanded Designs,1.0
Black Lotus | Dryad Arbor | Propaganda,0.0
Cavern of Souls | Chronomaton | The Rack,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
Chancellor of the Annex | Chancellor of the Annex | Fountain of Cho,-1.0
Chancellor of the Annex | Fountain of Cho | Path to Exile,1.0
Chancellor of the Annex | Icatian Store | Strip Mine,-1.0
Chancellor of the Annex | Lupine Prototype | Mishra's Workshop,1.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
"Chandra, Awakened Inferno | Dwarven Hold | Vault Skirge",1.0
Crashing Footfalls | Forest | Veil of Summer,1.0
Curse of Silence | Plains | Student of Warfare,0.0
Dark Depths | Mana Crypt | Thespian's Stage,-1.0
"Dryad Arbor | Eladamri's Vineyard | Omnath, Locus of Mana",1.0
Llanowar Reborn | Mental Misstep | Scythe Tiger,1.0
Strip Mine | The Rack | The Tabernacle at Pendrell Vale,1.0
Alpine Moon | Mountain | Stromkirk Noble,0.0
Alpine Moon | Sleep-Cursed Faerie | Volcanic Island,0.0
Basking Rootwalla | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
Bayou | Mind Swords | Young Wolf,0.0
Berserk | Chronomaton | Dryad Arbor,1.0
Blackcleave Cliffs | Encroach | Shadow Guildmage,0.0
Blazing Rootwalla | Foil | Volcanic Island,0.0
"Bone Shards | Bottomless Vault | Ulamog, the Infinite Gyre",1.0
"Boseiju, Who Endures | Hexdrinker | Simic Growth Chamber",1.0
Botanical Sanctum | Crashing Footfalls | Sea's Claim,1.0
Call to the Netherworld | Lion's Eye Diamond | Mesmeric Fiend,0.0
Cenn's Tactician | Karakas | Mental Misstep,1.0
Chalice of Life | Ensnaring Bridge | Mishra's Workshop,1.0
Chancellor of the Forge | Karakas | Leyline of Singularity,0.0
Chancellor of the Forge | Lion's Eye Diamond | Shadowgrange Archfiend,-1.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,1.0
Chronomaton | Curse of Silence | Karakas,0.0
City of Traitors | Dark Depths | Thespian's Stage,0.0
City of Traitors | Isochron Scepter | Selesnya Charm,1.0
City of Traitors | Lupine Prototype | Lupine Prototype,0.0
City of Traitors | Magus of the Moon | Simian Spirit Guide,0.0
City of Traitors | Maze of Ith | Retrofitter Foundry,1.0
Curse of Silence | Hexdrinker | Savannah,0.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",0.0
Dryad Arbor | Lion's Eye Diamond | Shadowgrange Archfiend,-1.0
"Emrakul, the Aeons Torn | Lion's Eye Diamond | Shelldock Isle",-1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",0.0
Ensnaring Bridge | Mishra's Workshop | Scalding Tongs,1.0
Ensnaring Bridge | Mishra's Workshop | Scepter of Empires,1.0
Flash | Geralf's Mindcrusher | Saprazzan Cove,1.0
Force of Negation | Misthollow Griffin | Saprazzan Cove,0.0
