Opponent Decklist,Result
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",0.0
"Ajani, Nacatl Pariah | Hostile Hostel | Karakas",1.0
Bonesplitter | Ocelot Pride | Plains,1.0
Bottomless Vault | Reassembling Skeleton | Sheoldred's Edict,-1.0
Brain Maggot | Mox Jet | Rishadan Port,-0.5
Cenn's Tactician | Path to Exile | Plains,0.0
Chancellor of the Forge | Foil | Island,0.0
Charmbreaker Devils | Lightning Bolt | Mercadian Bazaar,-1.0
City of Traitors | Disruptor Flute | Drillworks Mole,0.0
City of Traitors | Disruptor Flute | Idol of False Gods,-1.0
City of Traitors | Disruptor Flute | Steel Overseer,0.0
City of Traitors | Epochrasite | Jinxed Idol,1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,1.0
Curse of Silence | Ocelot Pride | Plains,0.5
Dark Ritual | Exsanguinator Cavalry | Urborg,1.0
Field of Ruin | Idol of False Gods | Sol Ring,0.0
Inkmoth Nexus | Mox Jet | Sphere of Resistance,-1.0
Mana Tithe | Memnite | Plains,0.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Academy Researchers | Eldrazi Conscription | Lotus Bloom,1.0
Academy Ruins | Calciform Pools | The Filigree Sylex,1.0
Ancient Tomb | Mox Jet | Unstoppable Slasher,1.0
Bloodhall Ooze | Leyline of the Guildpact | The Tabernacle at Pendrell Vale,0.0
Cavern of Souls | Mistbreath Elder | Sunshower Druid,1.0
Chancellor of the Forge | Pyrokinesis | Wasteland,-1.0
"Dargo, the Shipwrecker | Great Furnace | Mana Crypt",1.0
Dark Ritual | Iridescent Vinelasher | Undiscovered Paradise,1.0
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Daze | Hexdrinker | Tropical Island,0.0
Daze | Island | Sleep-Cursed Faerie,-1.0
Divine Gambit | Prairie Dog | Remote Farm,0.0
Freed from the Real | Hickory Woodlot | Twitching Doll,1.0
Hammerheim | Heartfire Hero | Kumano Faces Kakkazan,1.0
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,-1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,0.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,0.5
Remote Farm | Skrelv's Hive | Soul Partition,0.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",0.0
Agent of Treachery | Force of Negation | Sand Silos,1.0
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,-1.0
Alpine Moon | Hexdrinker | Taiga,-1.0
Alpine Moon | Slippery Bogle | Taiga,-1.0
Ancient Tomb | Dark Depths | Thespian's Stage,1.0
Anointed Peacekeeper | City of Traitors | Mox Pearl,1.0
Approach of the Second Sun | Fountain of Cho | Island Sanctuary,1.0
"Arcbound Ravager | Mana Crypt | Syr Ginger, the Meal Ender",1.0
Assassin's Trophy | Geothermal Crevice | The Tabernacle at Pendrell Vale,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Bayou | Hexdrinker | Snuff Out,0.0
Bayou | Scythe Tiger | Thoughtseize,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,-1.0
Blightsteel Colossus | Lotus Bloom | Show and Tell,1.0
Bloodforged Battle-Axe | Fervent Champion | Sandstone Needle,1.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,0.0
Boros Garrison | Hellion Crucible | Soul Partition,0.0
Bottomless Vault | Dauthi Voidwalker | Murderous Rider,-1.0
Bottomless Vault | Nether Spirit | Smallpox,-1.0
Bottomless Vault | Plague Engineer | Plague Engineer,1.0
Cathedral of War | Inkmoth Nexus | Steel Overseer,-1.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,0.0
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
Chalice of the Void | City of Traitors | Phyrexian Revoker,1.0
City of Traitors | Damping Sphere | Steel Overseer,-0.5
City of Traitors | Dungeon Map | Mox Jet,1.0
City of Traitors | Eldrazi Displacer | Mox Pearl,1.0
City of Traitors | Elixir of Immortality | The Filigree Sylex,0.5
City of Traitors | Field of Ruin | Phyrexian Revoker,0.0
City of Traitors | Geth's Verdict | Isochron Scepter,1.0
City of Traitors | Hangarback Walker | Hangarback Walker,0.5
City of Traitors | Hangarback Walker | Steel Overseer,0.0
City of Traitors | Hex Parasite | Phyrexian Revoker,-1.0
City of Traitors | Isochron Scepter | Lightning Helix,1.0
City of Traitors | Isochron Scepter | Verdant Command,1.0
City of Traitors | Mountain | Stingerback Terror,1.0
City of Traitors | Roterothopter | Sphere of Resistance,-1.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",1.0
Devoted Druid | Hickory Woodlot | Quillspike,1.0
Dismember | Dryad Arbor | Pick Your Poison,-1.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.0
"Dwarven Hold | Fury | Squee, the Immortal",-1.0
"Elspeth, Sun's Champion | Lotus Bloom | Lotus Bloom",1.0
"Energy Field | Sand Silos | Ulamog, the Ceaseless Hunger",1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",1.0
Forest | Glistener Elf | Rancor,1.0
Forest | Hexdrinker | Pick Your Poison,1.0
Glint Hawk | Glint Hawk | Mox Pearl,1.0
"Goblin Lackey | Krenko, Mob Boss | Mountain",1.0
Greater Gargadon | Restore Balance | Undiscovered Paradise,0.0
Hangarback Walker | Inkmoth Nexus | Rishadan Port,0.5
Harvester of Misery | Peat Bog | Reanimate,0.0
Hickory Woodlot | Maze of Ith | Outland Liberator,0.0
Hickory Woodlot | Packsong Pup | Packsong Pup,1.0
Hoverstone Pilgrim | Sheoldred's Edict | Subterranean Hangar,-1.0
"Hymn to Tourach | Mishra's Factory | Urborg, Tomb of Yawgmoth",0.0
Inkmoth Nexus | Inkmoth Nexus | Sol Ring,1.0
Inkmoth Nexus | Mox Jet | Traumatic Revelation,0.0
Inkmoth Nexus | Mox Pearl | Path to Exile,0.0
Inkmoth Nexus | Plains | Portable Hole,1.0
Karakas | Meddling Mage | Mox Sapphire,1.0
Keldon Megaliths | Keldon Megaliths | Keldon Megaliths,1.0
Luminarch Aspirant | Mox Pearl | Rishadan Port,0.5
Memnite | Memnite | Memnite,1.0
Memnite | Mental Misstep | Subtlety,1.0
Mishra's Factory | Rishadan Port | Sunken Citadel,0.5
Mox Pearl | Mutavault | War Priest of Thune,1.0
Mox Pearl | Portable Hole | Warden of the Inner Sky,1.0
Mox Pearl | Prairie Dog | Rishadan Port,0.5
Mox Pearl | Skrelv's Hive | The Seedcore,1.0
Nested Shambler | Tendrils of Despair | Urborg,0.0
Okiba Reckoner Raid | Swamp | Thoughtseize,0.0
Path to Exile | Prairie Dog | Remote Farm,0.0
Plains | Porphyry Nodes | Restore Balance,0.5
Remote Farm | Steel Overseer | Steel Overseer,0.5
"Ajani, Nacatl Pariah | Divine Gambit | Remote Farm",-1.0
"Ajani, Nacatl Pariah | Portable Hole | Remote Farm",0.0
"Ajani, Nacatl Pariah | Remote Farm | Soul Partition",-1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
"Alseid of Life's Bounty | Skrelv, Defector Mite | Snow-Covered Plains",1.0
Ancient Tomb | Animating Faerie | Tanglepool Bridge,0.0
Ancient Tomb | Arcbound Slith | Arcbound Slith,1.0
Ancient Tomb | Crystalline Giant | Demolition Field,0.5
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,0.5
Ancient Tomb | Magus of the Moon | Mox Ruby,-1.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,1.0
Ancient Tomb | Phyrexian Revoker | Phyrexian Revoker,1.0
Azure Beastbinder | Saprazzan Skerry | Tide Shaper,0.0
Bayou | Hexdrinker | Ruthless Negotiation,1.0
Blinkmoth Nexus | Forest | Hexdrinker,1.0
Blinkmoth Nexus | Invasion of Gobakhan | Mox Pearl,0.0
Calciform Pools | March of Otherworldly Light | Mirrex,-1.0
Cleansing Wildfire | Mishra's Factory | Mox Ruby,-1.0
Collective Resistance | Collector Ouphe | Hickory Woodlot,1.0
Contagion | Dryad Arbor | Unmask,-1.0
"Contested Cliffs | Gruul Turf | Migloz, Maze Crusher",1.0
Crystal Vein | Elite Spellbinder | Mox Pearl,0.0
Crystal Vein | Magus of the Moon | Mox Ruby,-1.0
Crystal Vein | Memnite | Sphere of Resistance,-1.0
Dreadhorde Invasion | Hymn to Tourach | Peat Bog,0.0
Dreams of Steel and Oil | Hexdrinker | Undiscovered Paradise,0.0
Dryad Arbor | Force of Despair | Grief,-1.0
Dryad Arbor | Force of Negation | Mental Misstep,1.0
Dwarven Hold | Ensnaring Bridge | Keldon Megaliths,1.0
Etched Slith | Peat Bog | Sheoldred's Edict,0.0
Faithbound Judge | Icatian Store | Island Sanctuary,1.0
Forest | Hexdrinker | Mental Misstep,1.0
Gleeful Demolition | Rustvale Bridge | Unwanted Remake,-1.0
Greater Gargadon | Inspiring Vantage | Restore Balance,0.0
Hexdrinker | Inquisition of Kozilek | Undiscovered Paradise,0.0
Hexdrinker | Undiscovered Paradise | Unwanted Remake,0.0
Hickory Woodlot | Scythe Tiger | Serene Remembrance,1.0
Hollow Trees | Primordial Hydra | The Tabernacle at Pendrell Vale,-1.0
Innocent Blood | Mishra's Factory | Mox Jet,0.0
Inquisition of Kozilek | Subterranean Hangar | Tomb of Urami,0.0
Karakas | Leyline of Singularity | Student of Warfare,1.0
Lair of the Hydra | Pick Your Poison | Saltcrusted Steppe,1.0
Legacy's Allure | Saprazzan Skerry | Tide Shaper,0.5
Living Conundrum | Mental Misstep | Sand Silos,0.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,1.0
Mishra's Factory | Mox Jet | Nezumi Graverobber,1.0
Mishra's Factory | Mox Pearl | Prairie Dog,1.0
Mishra's Factory | Mox Pearl | Skrelv's Hive,1.0
Mox Jet | Mutavault | Nezumi Shortfang,0.0
"Mox Pearl | Rishadan Port | Thalia, Guardian of Thraben",0.0
"Mu Yanling, Sky Dancer | Oboro, Palace in the Clouds | Sol Ring",1.0
Nature's Claim | Predator Ooze | Rushwood Grove,1.0
Phyrexian Processor | Planar Nexus | Urza's Tower,1.0
Prairie Dog | Remote Farm | Skrelv's Hive,1.0
Reassembling Skeleton | Subterranean Hangar | Sudden Edict,-1.0
Reinforced Ronin | Slagwoods Bridge | Teething Wurmlet,1.0
Abandon Hope | Dryad Arbor | Force of Despair,-1.0
Adanto Vanguard | Luminarch Aspirant | Remote Farm,1.0
Ancient Tomb | Demolition Field | Phyrexian Revoker,0.0
Ancient Tomb | Field of Ruin | Phyrexian Revoker,0.0
Ancient Tomb | Idol of False Gods | Ruins of Oran-Rief,1.0
Ancient Tomb | Mox Sapphire | Visage Bandit,1.0
Angel of Sanctions | Icatian Store | Solitude,-0.5
Animal Sanctuary | Sacred Cat | Sunken Citadel,1.0
"Argoth, Sanctum of Nature | Sunken Citadel | Sunken Citadel",-0.5
Assassin's Trophy | Geothermal Crevice | Keldon Halberdier,0.0
Blast Zone | Sunken Citadel | Treetop Village,-1.0
Blazing Volley | Hammerheim | Heartfire Hero,1.0
Calciform Pools | Mirrex | Soul Partition,-1.0
Campfire | Eldrazi Temple | Idol of False Gods,1.0
Crack the Earth | Greater Gargadon | Mountain,-0.5
Crawling Chorus | Karakas | Leyline of Singularity,1.0
Crystal Vein | Magus of the Moon | Simian Spirit Guide,-1.0
Crystal Vein | Mox Emerald | Words of Wilding,1.0
Dark Ritual | Hypnotic Specter | Swamp,1.0
Demolition Field | Idol of False Gods | Sol Ring,0.0
Dismember | Eldrazi Temple | Idol of False Gods,0.0
Divine Gambit | Remote Farm | Skrelv's Hive,0.0
Dryad Arbor | Embiggen | Serene Remembrance,1.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",-1.0
Eldrazi Temple | Field of Ruin | Idol of False Gods,0.0
Eldrazi Temple | Idol of False Gods | Idol of False Gods,-1.0
Eldrazi Temple | Idol of False Gods | Mental Misstep,1.0
