Opponent Decklist,Result
Blinkmoth Nexus | Chain of Smog | Mox Jet,0.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,1.0
Dauthi Voidwalker | Peat Bog | Victim of Night,-1.0
Declaration in Stone | Remote Farm | White Knight,-0.5
Devoted Druid | Quillspike | Rushwood Grove,-1.0
Dreadhorde Invasion | Peat Bog | Smallpox,1.0
Flash | Saprazzan Skerry | Worldspine Wurm,1.0
Hollow Trees | Nullhide Ferox | The Tabernacle at Pendrell Vale,-1.0
Inkmoth Nexus | Mox Sapphire | Sphere of Resistance,0.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,-1.0
"Chain of Vapor | Jace, Wielder of Mysteries | Saprazzan Cove",-1.0
Chancellor of the Annex | Chancellor of the Forge | Solitude,1.0
Chancellor of the Annex | Fountain of Cho | The Wandering Emperor,0.0
Chancellor of the Annex | Fountain of Cho | Werefox Bodyguard,-1.0
"Dark Depths | Lumbering Megasloth | Yavimaya, Cradle of Growth",-1.0
"Deep-Cavern Bat | Maze of Ith | Urborg, Tomb of Yawgmoth",-1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",1.0
Fervent Champion | Sandstone Needle | Umezawa's Jitte,1.0
Field of Ruin | Sunken Citadel | Treetop Village,-1.0
Giant Strength | Lightning Mare | Sandstone Needle,-1.0
Hex Parasite | Mishra's Factory | Swamp,-0.5
Hexdrinker | Portable Hole | Undiscovered Paradise,-1.0
Ian the Reckless | Mox Ruby | The Monumental Facade,0.0
"Inkmoth Nexus | Mire's Toll | Urborg, Tomb of Yawgmoth",0.0
Karakas | Meddling Mage | Mox Sapphire,0.0
"Karakas | Mox Pearl | Thalia, Guardian of Thraben",0.0
Leyline of Lifeforce | Llanowar Reborn | Scythe Tiger,-1.0
