Opponent Decklist,Result
Aether Vial | Karakas | Mangara of Corondor,0.0
Ajani Vengeant | Crystal Vein | Tinder Farm,1.0
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",-1.0
"Ajani, Nacatl Pariah | Mox Pearl | Rishadan Port",1.0
"Ajani, Nacatl Pariah | Phelia, Exuberant Shepherd | Remote Farm",0.0
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
Ancient Tomb | Isochron Scepter | Selesnya Charm,1.0
Angel of Sanctions | Icatian Store | Ice Floe,1.0
Augur of Skulls | Blinkmoth Nexus | Mox Jet,1.0
"Auriok Champion | Phelia, Exuberant Shepherd | Remote Farm",0.0
Blazing Hope | Crawling Chorus | Snow-Covered Plains,1.0
Blinkmoth Nexus | Invasion of Gobakhan | Mox Pearl,0.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
"Boseiju, Who Endures | Mox Emerald | Mutavault",-1.0
"Cavern of Souls | Isamaru, Hound of Konda | Selfless Savior",1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,0.0
Daze | Hexdrinker | Tropical Island,0.0
Daze | Island | Rishadan Dockhand,0.0
Desert | Mishra's Factory | The Tabernacle at Pendrell Vale,0.0
Dismember | Hammerheim | Heartfire Hero,1.0
Dryad Arbor | Force of Despair | Grief,0.0
Dryad Arbor | Hexdrinker | Pick Your Poison,-1.0
Dryad Arbor | Jaddi Offshoot | Mistbreath Elder,1.0
"Dryad Arbor | Karakas | Mikaeus, the Lunarch",1.0
Dwarven Hold | Ensnaring Bridge | Keldon Megaliths,-1.0
"Emrakul, the Aeons Torn | Lotus Bloom | Show and Tell",-1.0
Encroach | Scythe Tiger | Undiscovered Paradise,0.0
Etched Slith | Peat Bog | Sheoldred's Edict,1.0
Field of Ruin | Selesnya Sanctuary | Treetop Village,1.0
Floodbringer | Mox Sapphire | Sunscorched Desert,1.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,1.0
Fungal Reaches | Lair of the Hydra | Treasonous Ogre,1.0
"Fynn, the Fangbearer | Hickory Woodlot | Kappa Tech-Wrecker",0.0
Island | Sea's Claim | Sleep-Cursed Faerie,1.0
Keldon Megaliths | Pithing Needle | Sunken Citadel,0.0
Keldon Megaliths | Sunken Citadel | The Tabernacle at Pendrell Vale,1.0
Llanowar Mentor | Pendelhaven | Vigor,1.0
Mishra's Factory | Mox Jet | Sphere of Resistance,0.0
Mishra's Factory | Mox Pearl | Prairie Dog,1.0
Mishra's Factory | Mox Ruby | Sphere of Resistance,0.0
Mishra's Factory | Mox Sapphire | Volatile Stormdrake,-1.0
Mockingbird | Ocelot Pride | Undiscovered Paradise,-1.0
Mountain | Storm World | Wayward Guide-Beast,-1.0
