Opponent Decklist,Result
Alpine Moon | Sleep-Cursed Faerie | Volcanic Island,0.0
Ancient Tomb | Elixir of Immortality | Urza's Saga,1.0
Basking Rootwalla | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
Bayou | Mind Swords | Young Wolf,0.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",0.5
Botanical Sanctum | Crashing Footfalls | Sea's Claim,0.0
Call to the Netherworld | Lion's Eye Diamond | Mesmeric Fiend,0.0
Cenn's Tactician | Curse of Silence | Karakas,0.0
Cenn's Tactician | Karakas | Mental Misstep,0.0
Chalice of Life | Ensnaring Bridge | Mishra's Workshop,0.5
Chancellor of the Forge | Karakas | Leyline of Singularity,1.0
Chancellor of the Forge | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,1.0
Chronomaton | Curse of Silence | Karakas,0.0
Chronomaton | Encroach | Swamp,0.0
City of Traitors | Dark Depths | Thespian's Stage,1.0
City of Traitors | Forest | Hexdrinker,0.0
City of Traitors | Geth's Verdict | Isochron Scepter,0.0
City of Traitors | Isochron Scepter | Selesnya Charm,0.0
City of Traitors | Lupine Prototype | Lupine Prototype,0.0
City of Traitors | Magus of the Moon | Simian Spirit Guide,0.0
City of Traitors | Power Conduit | Urza's Saga,1.0
Copperline Gorge | Crack the Earth | Crashing Footfalls,0.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",1.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",1.0
Dryad Arbor | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
"Dwarven Hold | Fury | Squee, the Immortal",0.0
"Emrakul, the Aeons Torn | Lion's Eye Diamond | Shelldock Isle",0.0
Energy Field | Leyline of Sanctity | Sand Silos,1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",1.0
Ensnaring Bridge | Mishra's Workshop | Scalding Tongs,0.5
Ensnaring Bridge | Mishra's Workshop | The Rack,0.5
Forest | Mind Swords | Young Wolf,0.5
"Gisa's Bidding | Lion's Eye Diamond | Ulamog, the Infinite Gyre",0.5
Hollow Trees | Leyline of Lifeforce | Toadstool Admirer,1.0
Icatian Store | Near-Death Experience | Phyrexian Processor,1.0
Inkmoth Nexus | Karakas | Luminarch Aspirant,1.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",0.0
Kaldra Compleat | Remote Farm | Stoneforge Mystic,1.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Karakas | Mutavault | Swift Reconfiguration,1.0
Lion's Eye Diamond | Necrogoyf | Shadowgrange Archfiend,0.0
Lion's Eye Diamond | Necrogoyf | Vengeful Pharaoh,0.5
"Lion's Eye Diamond | Shelldock Isle | Ulamog, the Infinite Gyre",0.0
Lupine Prototype | Mishra's Workshop | Phyrexian Metamorph,0.0
