Opponent Decklist,Result
"Ajani, Nacatl Pariah | Phelia, Exuberant Shepherd | Remote Farm",1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
Ancient Tomb | Isochron Scepter | Selesnya Charm,1.0
Ancient Tomb | Mox Emerald | Words of Wilding,1.0
Augur of Skulls | Blinkmoth Nexus | Mox Jet,-0.5
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
"Cavern of Souls | Isamaru, Hound of Konda | Selfless Savior",1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,-1.0
Daze | Hexdrinker | Tropical Island,1.0
Daze | Island | Rishadan Dockhand,0.0
Desert | Mishra's Factory | The Tabernacle at Pendrell Vale,1.0
Dryad Arbor | Force of Despair | Grief,1.0
Dryad Arbor | Hexdrinker | Pick Your Poison,1.0
"Emrakul, the Aeons Torn | Lotus Bloom | Show and Tell",1.0
Floodbringer | Mox Sapphire | Sunscorched Desert,-1.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,-1.0
Fungal Reaches | Lair of the Hydra | Treasonous Ogre,1.0
Keldon Megaliths | Sunken Citadel | The Tabernacle at Pendrell Vale,-1.0
Llanowar Mentor | Pendelhaven | Vigor,1.0
Mishra's Factory | Mox Jet | Sphere of Resistance,1.0
Mishra's Factory | Mox Pearl | Prairie Dog,1.0
Mishra's Factory | Mox Sapphire | Volatile Stormdrake,1.0
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,-1.0
Blinkmoth Nexus | Invasion of Gobakhan | Mox Pearl,1.0
Contagion | Dryad Arbor | Unmask,1.0
Crystal Vein | Elite Spellbinder | Mox Pearl,1.0
Crystal Vein | Magus of the Moon | Mox Ruby,-1.0
Daze | Island | Sleep-Cursed Faerie,1.0
Dryad Arbor | Force of Negation | Mental Misstep,1.0
Living Conundrum | Mental Misstep | Sand Silos,1.0
Mox Jet | Mutavault | Nezumi Shortfang,-1.0
"Mox Pearl | Rishadan Port | Thalia, Guardian of Thraben",-1.0
Phyrexian Processor | Planar Nexus | Urza's Tower,0.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
Remote Farm | Skrelv's Hive | Soul Partition,-1.0
Ajani Vengeant | Ancient Tomb | Tinder Farm,-1.0
Ancient Tomb | Mox Ruby | Stingerback Terror,1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,-1.0
Calciform Pools | March of Otherworldly Light | Mirrex,-1.0
Dark Ritual | Swamp | Unstoppable Slasher,0.0
Dreadhorde Invasion | Peat Bog | Smallpox,-1.0
Eldrazi Temple | Idol of False Gods | Idol of False Gods,1.0
Eldrazi Temple | Idol of False Gods | Pithing Needle,0.0
Field of Ruin | Idol of False Gods | Sol Ring,-1.0
Hickory Woodlot | Outland Liberator | Twitching Doll,-1.0
Lair of the Hydra | Llanowar Mentor | Vigor,1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Plains | Student of Warfare | Unwanted Remake,1.0
