Opponent Decklist,Result
Alpine Moon | Crashing Footfalls | Undiscovered Paradise,1.0
Ancient Tomb | Animation Module | Chronomaton,1.0
Ancient Tomb | Archfiend of Spite | Diamond Lion,0.0
Ancient Tomb | Chalice of the Void | Phyrexian Revoker,-1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,1.0
Angel of Sanctions | Icatian Store | Solitude,1.0
Anvil of Bogardan | Cathedral of War | Inkmoth Nexus,1.0
Approach of the Second Sun | Fountain of Cho | Swords to Plowshares,1.0
Battlefield Raptor | Karakas | Leyline of Sanctity,1.0
Bayou | Cabal Therapy | Scythe Tiger,0.0
Bayou | Evil Presence | Swarm Shambler,1.0
Bayou | Funeral Charm | Swarm Shambler,0.0
Bitterblossom | Cabal Therapy | Peat Bog,1.0
Bitterblossom | Mox Jet | Rishadan Port,1.0
Blooming Marsh | Cabal Therapy | Crashing Footfalls,0.0
Blooming Marsh | Crashing Footfalls | Evil Presence,1.0
Cabal Therapy | Piracy Charm | Underground Sea,0.5
Cenn's Tactician | Karakas | Leyline of Singularity,1.0
Chancellor of the Forge | Foil | Snow-Covered Island,-1.0
"Channel | Emrakul, the Aeons Torn | Hickory Woodlot",0.0
Channel | Hickory Woodlot | Karn Liberated,0.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",0.0
Charming Prince | Leonin Relic-Warder | Remote Farm,0.0
Chronomaton | Karakas | Leyline of Singularity,1.0
Chronosavant | Icatian Store | Seasoned Hallowblade,1.0
Crashing Footfalls | Path to Exile | Savannah,1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",1.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",1.0
Dryad Arbor | Dryad Arbor | Lush Growth,1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",1.0
Energy Field | Saprazzan Skerry | The Millennium Calendar,1.0
Energy Field | Sleeper Agent | Sulfur Vent,0.5
Funeral Charm | Rimebound Dead | Snow-Covered Swamp,0.0
"Fynn, the Fangbearer | Hickory Woodlot | Outland Liberator",0.0
Gargadon | Sandstone Needle | Wild Magic Surge,0.0
Hexdrinker | Icehide Golem | Snow-Covered Forest,1.0
"Hollow Trees | Hollow Trees | Ulamog, the Infinite Gyre",1.0
"Hunted Horror | The Tabernacle at Pendrell Vale | Urborg, Tomb of Yawgmoth",1.0
Island | Mishra's Factory | Sleep-Cursed Faerie,1.0
Island | Piracy Charm | Sleep-Cursed Faerie,0.0
Karakas | Leyline of Singularity | Sacred Cat,1.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Karakas | Mox Pearl | Skrelv's Hive,1.0
"Lair of the Hydra | Llanowar Mentor | Ulamog, the Infinite Gyre",1.0
Mental Misstep | Pendelhaven | Vault Skirge,-1.0
Nether Spirit | Peat Bog | Smallpox,1.0
"Smallpox | The Tabernacle at Pendrell Vale | Urborg, Tomb of Yawgmoth",1.0
