Opponent Decklist,Result
Abiding Grace | Gingerbrute | Icatian Store,1.0
Alpine Moon | Cenn's Tactician | Plateau,-1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,0.5
Bitterblossom | Mox Jet | Rishadan Port,-1.0
"Brazen Borrower | Jace, Wielder of Mysteries | Sand Silos",0.0
Chancellor of the Annex | Chancellor of the Forge | Karakas,1.0
Chancellor of the Annex | Dryad Arbor | Shining Shoal,1.0
Chancellor of the Annex | Fleeting Spirit | Fountain of Cho,0.0
Chancellor of the Annex | Icatian Store | March of Otherworldly Light,0.0
Chancellor of the Forge | Foil | Island,1.0
Dark Depths | Peat Bog | Vampire Hexmage,-1.0
Daze | Inkmoth Nexus | Island,0.5
Daze | Island | Sleep-Cursed Faerie,0.5
"Dunes of the Dead | Smallpox | Urborg, Tomb of Yawgmoth",0.5
Greater Gargadon | Plateau | Restore Balance,1.0
"Portable Hole | Remote Farm | Thalia, Guardian of Thraben",1.0
Aether Refinery | Braid of Fire | Sandstone Needle,1.0
"Ajani, Nacatl Pariah | Phelia, Exuberant Shepherd | Remote Farm",-1.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,-1.0
Ancient Tomb | Mox Ruby | Stingerback Terror,-1.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,1.0
Boros Garrison | Island Sanctuary | Keldon Megaliths,1.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
Dismember | Dryad Arbor | Noxious Revival,1.0
Dreams of Steel and Oil | Hexdrinker | Undiscovered Paradise,-1.0
Dryad Arbor | Force of Despair | Grief,1.0
"Icatian Store | Island Sanctuary | Ulamog, the Infinite Gyre",1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,-1.0
Karakas | Leyline of Singularity | Loyal Sentry,1.0
Kor Haven | Skrelv's Hive | Sunken Citadel,-1.0
Mishra's Factory | Mox Pearl | Prairie Dog,-1.0
