Opponent Decklist,Result
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,0.0
Angel of Sanctions | Icatian Store | Solitude,-1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Cabal Therapy | Chronomaton | Swamp,0.0
Cathedral of War | Inkmoth Nexus | Noxious Revival,1.0
Cenn's Tactician | Icatian Javelineers | Karakas,0.0
Cenn's Tactician | Icatian Javelineers | Snow-Covered Plains,0.0
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
Cenn's Tactician | Plains | Portable Hole,0.0
Chancellor of the Tangle | Crashing Footfalls | Hollow Trees,-1.0
Chronomaton | Island | Piracy Charm,0.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Force of Despair | Grief | Memnite,0.0
Gleeful Demolition | Rustvale Bridge | Warden of the Inner Sky,1.0
In Too Deep | Saprazzan Skerry | Tide Shaper,1.0
Inkmoth Nexus | Noble Hierarch | Pendelhaven,1.0
Mayor of Avabruck | Mox Emerald | Volatile Fault,0.0
"Mox Pearl | Thalia, Guardian of Thraben | Volatile Fault",0.0
Abrade | Sandstone Needle | Vexing Shusher,1.0
Alpine Moon | Swarm Shambler | Taiga,0.0
Approach of the Second Sun | Fountain of Cho | Path to Exile,1.0
Balance | Crashing Footfalls | Tinder Farm,1.0
Balance | Mox Pearl | Mutavault,0.5
Bayou | Cabal Therapy | Young Wolf,0.0
Bitterblossom | Ebon Stronghold | Vebulid,1.0
Chaplain of Alms | Icatian Store | Stroke of Midnight,0.0
City of Traitors | Elixir of Immortality | Lupine Prototype,0.0
City of Traitors | Time Vault | Voltaic Servant,0.5
Crashing Footfalls | Dryad Arbor | Swarm Shambler,1.0
Crashing Footfalls | Glistener Elf | Pendelhaven,0.0
Crashing Footfalls | Piracy Charm | Tropical Island,0.0
Crystalline Giant | Lupine Prototype | Mishra's Workshop,0.0
Ferropede | Meekstone | Mishra's Workshop,1.0
Force of Despair | Memnite | Unmask,0.0
Fume Spitter | Lupine Prototype | Peat Bog,1.0
Illusionary Mask | Mishra's Workshop | Phyrexian Dreadnought,1.0
Inkmoth Nexus | Petrified Field | The Tabernacle at Pendrell Vale,1.0
Invasion of Gobakhan | Mox Pearl | Mutavault,0.0
Karakas | Leyline of Singularity | Sacred Cat,1.0
Reality Shift | Sand Silos | Sphinx of the Final Word,1.0
Reassembling Skeleton | Shrieking Affliction | Subterranean Hangar,1.0
Sandstone Needle | Steel Overseer | Wild Magic Surge,1.0
Sandstone Needle | Wild Magic Surge | Wild Magic Surge,1.0
Blazing Rootwalla | Burning Inquiry | Mountain,-0.5
Cenn's Tactician | Curse of Silence | Plains,0.0
Cenn's Tactician | Path to Exile | Plains,0.0
Chalice of the Void | Crystalline Giant | Mishra's Workshop,0.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Fury | Wasteland,-1.0
Chancellor of the Forge | Karakas | Leyline of Singularity,1.0
Chronomaton | Dismember | Wasteland,-0.5
City of Traitors | Lion's Eye Diamond | Starnheim Unleashed,0.0
City of Traitors | Phyrexian Revoker | Wasteland,-0.5
Divine Gambit | Remote Farm | Skrelv's Hive,1.0
Ensnaring Bridge | Mishra's Workshop | Scalding Tongs,0.5
Gisa's Bidding | Lion's Eye Diamond | Nether Spirit,0.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",0.0
"Lion's Eye Diamond | Shelldock Isle | Ulamog, the Infinite Gyre",-1.0
Lupine Prototype | Mana Crypt | Phyrexian Revoker,0.0
Lupine Prototype | Mishra's Workshop | Pithing Needle,0.0
Mayor of Avabruck | Mox Emerald | Wasteland,-0.5
Mishra's Factory | The Rack | Wasteland,-0.5
"Mox Jet | Valki, God of Lies | Wasteland",-0.5
