Opponent Decklist,Result
Aether Vial | Chancellor of the Tangle | Knight of Autumn,1.0
"Ajani, Nacatl Pariah | Boros Garrison | The Tabernacle at Pendrell Vale",1.0
"Ajani, Nacatl Pariah | Prairie Dog | Remote Farm",-1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Assassin Initiate | Evil Presence | Swamp,-1.0
Bayou | Dreams of Steel and Oil | Hexdrinker,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,1.0
"Cruelclaw's Heist | Mishra's Factory | Urborg, Tomb of Yawgmoth",-1.0
Daze | Hexdrinker | Tropical Island,1.0
Daze | Island | Sleep-Cursed Faerie,1.0
Dryad Arbor | Dryad Arbor | Dryad Arbor,1.0
"Forsaken City | Senu, Keen-Eyed Protector | Valentin, Dean of the Vein",0.0
Get Lost | Island Sanctuary | Remote Farm,0.0
Hexdrinker | Savannah | Unwanted Remake,-1.0
"Jan Jansen, Chaos Crafter | Tinder Farm | Vault of Whispers",1.0
Karakas | Leyline of Singularity | Mutavault,0.0
Living Conundrum | Mana Vault | Saprazzan Skerry,-1.0
Memnite | Memnite | Memnite,1.0
Mox Pearl | Nurturing Pixie | Nurturing Pixie,0.0
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",0.5
Ruins Recluse | Rushwood Grove | Swarmyard,-0.5
Ancient Tomb | Arcbound Slith | Arcbound Slith,1.0
Ancient Tomb | Gut Shot | Phyrexian Revoker,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,0.0
Blinkmoth Nexus | Invasion of Gobakhan | Mox Diamond,1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,-1.0
Dryad Arbor | Dryad Arbor | Lignify,-1.0
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",0.0
Hopeless Nightmare | Swamp | Tel-Jilad Stylus,-1.0
Inquisition of Kozilek | Scrubland | Student of Warfare,1.0
Karakas | Leyline of Singularity | Student of Warfare,-1.0
Magus of the Vineyard | Mossborn Hydra | Undiscovered Paradise,0.0
Miasmic Mummy | Mox Jet | Unholy Grotto,-1.0
"Minsc & Boo, Timeless Heroes | Orcish Lumberjack | Taiga",0.0
Mountain | Village Messenger | Village Messenger,0.0
Mox Emerald | Mutavault | Troublemaker Ouphe,0.5
Mox Sapphire | Mutavault | Tide Shaper,-1.0
Mutavault | Rishadan Port | The Tabernacle at Pendrell Vale,1.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
