Opponent Decklist,Result
Academy Ruins | Dreadship Reef | The Filigree Sylex,-1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
"Arcbound Ravager | Mana Crypt | Syr Ginger, the Meal Ender",1.0
Archon of Cruelty | Lotus Bloom | Show and Tell,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Blightsteel Colossus | Dwarven Hold | Sneak Attack,1.0
Blinkmoth Nexus | Island Sanctuary | Mox Pearl,0.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Pyrokinesis | Wasteland,-1.0
Chancellor of the Forge | The Tabernacle at Pendrell Vale | Wasteland,-1.0
Crystal Vein | Lodestone Golem | Mana Vault,-1.0
Curse of Silence | Hexdrinker | Undiscovered Paradise,-1.0
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Daze | Island | Sleep-Cursed Faerie,0.0
Dreadhorde Invasion | Peat Bog | Smallpox,-1.0
Forest | Hexdrinker | Wasteland,-1.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,1.0
Hexdrinker | Inquisition of Kozilek | Undiscovered Paradise,0.0
Hexdrinker | Mox Emerald | Wasteland,-1.0
Hope of Ghirapur | Wasteland | Welding Jar,-0.5
Island | Sleep-Cursed Faerie | Unable to Scream,1.0
Karakas | Leyline of Singularity | Sacred Cat,0.0
Legacy's Allure | Lighthouse Chronologist | Saprazzan Cove,1.0
Mana Tithe | Plains | Speaker of the Heavens,0.5
Memnite | Snow-Covered Swamp | Specter's Shriek,0.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,0.0
Mountain | Nether Spirit | Sonic Seizure,1.0
Mox Emerald | Outland Liberator | Wasteland,-1.0
Mox Pearl | Mutavault | Skrelv's Hive,1.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,1.0
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",0.0
Plains | Student of Warfare | Unwanted Remake,1.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",1.0
Sleep-Cursed Faerie | Tundra | Unwanted Remake,1.0
Sleep-Cursed Faerie | Undiscovered Paradise | Unwanted Remake,1.0
Alpine Moon | Sandstone Needle | Stromkirk Noble,0.0
Bazaar of Baghdad | Bottomless Vault | Vengeful Pharaoh,1.0
Cavern of Souls | Chancellor of the Annex | Hexdrinker,-1.0
Chancellor of the Annex | Chancellor of the Forge | Solitude,-1.0
Chancellor of the Annex | Fountain of Cho | Path to Exile,-1.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",-1.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",-1.0
Daze | Sacred Cat | Tundra,0.0
Flash | Gruff Triplets | Saprazzan Skerry,-1.0
Golgari Rot Farm | Hex Parasite | Maze of Ith,1.0
"Inkmoth Nexus | Smallpox | Urborg, Tomb of Yawgmoth",0.5
Kabira Crossroads | Providence | Speaker of the Heavens,0.0
Karakas | Luminarch Aspirant | Mox Pearl,1.0
"Karakas | Mox Pearl | Thalia, Guardian of Thraben",-1.0
"Lightning Bolt | Mountain | Ragavan, Nimble Pilferer",1.0
Mother of Runes | Secluded Courtyard | Stormscape Apprentice,1.0
Acquisitions Expert | Blinkmoth Nexus | Mox Jet,0.0
"Ajani, Nacatl Pariah | Divine Gambit | Remote Farm",-1.0
"Ajani, Nacatl Pariah | Get Lost | Remote Farm",1.0
"Ajani, Nacatl Pariah | Leonin Relic-Warder | Remote Farm",-1.0
Ancient Tomb | Drillworks Mole | Sphere of Resistance,-1.0
Ancient Tomb | Phyrexian Revoker | Steel Overseer,-1.0
Ancient Tomb | Steel Overseer | Steel Overseer,1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,-1.0
Archangel Elspeth | Icatian Store | Island Sanctuary,0.0
Atraxi Warden | Prairie Dog | Remote Farm,-1.0
Azure Beastbinder | Azure Beastbinder | Saprazzan Skerry,1.0
