Opponent Decklist,Result
Abrade | Sandstone Needle | Vexing Shusher,0.0
Alpine Moon | Swarm Shambler | Taiga,-0.5
Approach of the Second Sun | Fountain of Cho | Path to Exile,0.0
Balance | Crashing Footfalls | Tinder Farm,0.5
Balance | Mox Pearl | Mutavault,0.5
Bayou | Cabal Therapy | Young Wolf,0.0
Bitterblossom | Ebon Stronghold | Vebulid,0.5
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
Chaplain of Alms | Icatian Store | Stroke of Midnight,1.0
City of Traitors | Elixir of Immortality | Lupine Prototype,0.0
City of Traitors | Time Vault | Voltaic Servant,0.5
Crashing Footfalls | Dryad Arbor | Swarm Shambler,0.5
Crashing Footfalls | Glistener Elf | Pendelhaven,0.5
Crashing Footfalls | Piracy Charm | Tropical Island,0.0
Crystalline Giant | Lupine Prototype | Mishra's Workshop,-1.0
Ferropede | Meekstone | Mishra's Workshop,1.0
Force of Despair | Memnite | Unmask,0.0
Fume Spitter | Lupine Prototype | Peat Bog,1.0
Illusionary Mask | Mishra's Workshop | Phyrexian Dreadnought,1.0
Inkmoth Nexus | Petrified Field | The Tabernacle at Pendrell Vale,1.0
Karakas | Leyline of Singularity | Sacred Cat,1.0
Mind Rake | Mishra's Factory | Mox Jet,0.0
Reality Shift | Sand Silos | Sphinx of the Final Word,1.0
Reassembling Skeleton | Shrieking Affliction | Subterranean Hangar,1.0
Sandstone Needle | Steel Overseer | Wild Magic Surge,0.5
Sandstone Needle | Wild Magic Surge | Wild Magic Surge,0.0
Bitterblossom | Mishra's Factory | Mox Jet,0.0
Blazing Rootwalla | Foil | Volcanic Island,0.0
Bottomless Vault | Hopeless Nightmare | Murderous Rider,1.0
Bottomless Vault | Inkmoth Nexus | Murderous Rider,1.0
Bronzehide Lion | Forest | Plains,1.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
Chancellor of the Tangle | Force of Vigor | Hope of Ghirapur,-0.5
Chaplain of Alms | Gut Shot | Karakas,1.0
Cleansing Wildfire | Den of the Bugbear | Molten Slagheap,-1.0
Collective Brutality | Nether Spirit | Peat Bog,1.0
Dark Ritual | Rotting Regisaur | Swamp,0.0
Daze | Island | Stonecoil Serpent,1.0
Divine Gambit | Remote Farm | Skrelv's Hive,0.5
Dryad Arbor | Gaea's Cradle | Hexdrinker,1.0
"Dunes of the Dead | Smallpox | Urborg, Tomb of Yawgmoth",1.0
"Fountain of Cho | Path to Exile | Ulamog, the Infinite Gyre",1.0
Gargadon | Gargadon | Sandstone Needle,1.0
Healer's Hawk | Razorverge Thicket | Wall of Vines,0.5
"Karakas | Mox Ruby | Yidaro, Wandering Monster",1.0
Lightning Bolt | Mountain | Soul-Scar Mage,1.0
"Llanowar Mentor | Pendelhaven | Ulamog, the Infinite Gyre",0.5
Llanowar Reborn | Llanowar Reborn | Scythe Tiger,1.0
Memnite | Memnite | Memnite,0.0
Reinforced Ronin | Storm World | Undiscovered Paradise,1.0
Alpine Moon | Hammerheim | Heartfire Hero,-0.5
Ancient Tomb | Lodestone Golem | Mana Vault,0.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,0.0
Angel of Sanctions | Icatian Store | Solitude,1.0
Anvil of Bogardan | Crystal Vein | Nether Spirit,0.5
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Bottomless Vault | Nether Spirit | Smallpox,-1.0
Chaplain of Alms | Karakas | Leyline of Singularity,1.0
Crystal Vein | Lodestone Golem | Mana Crypt,0.0
Dark Ritual | Swamp | Unstoppable Slasher,0.0
Dreams of Steel and Oil | Scythe Tiger | Undiscovered Paradise,0.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",1.0
"Elspeth, Sun's Champion | Lotus Bloom | Lotus Bloom",1.0
Fountain of Cho | Serra the Benevolent | Solitude,1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,1.0
Ice Floe | Living Conundrum | Sand Silos,-1.0
"Krenko, Baron of Tin Street | Mana Crypt | Mox Ruby",0.0
March from the Black Gate | Mox Jet | Mutavault,0.0
Mox Emerald | Mutavault | Outland Liberator,0.0
"Phelia, Exuberant Shepherd | Prairie Dog | Remote Farm",0.0
Prairie Dog | Remote Farm | Soul Partition,0.0
Sarcomancy | Snow-Covered Swamp | Tel-Jilad Stylus,1.0
