Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,0.0
Ancient Tomb | Dismember | Steel Overseer,-1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
Blinkmoth Nexus | Grove of the Burnwillows | Punishing Fire,-1.0
Blinkmoth Nexus | Island Sanctuary | Mox Pearl,0.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",1.0
Butcher Ghoul | Peat Bog | Smallpox,0.5
Copper Tablet | Get Lost | Remote Farm,0.0
Crack the Earth | Hammerheim | Heartfire Hero,1.0
Cruel Sadist | Dreams of Steel and Oil | Snow-Covered Swamp,0.0
Cruel Sadist | Dreams of Steel and Oil | Swamp,0.0
"Dargo, the Shipwrecker | Great Furnace | Mana Crypt",-1.0
Dark Ritual | Mox Jet | Phylactery Lich,1.0
"Emrakul, the Aeons Torn | Mercadian Bazaar | Sneak Attack",1.0
"Generous Plunderer | Gut, True Soul Zealot | Sandstone Needle",0.0
Hammerheim | Heartfire Hero | Thud,1.0
Hickory Woodlot | Verdant Command | Wheel of Sun and Moon,-1.0
Hushbringer | Phyrexian Dreadnought | Remote Farm,-1.0
"Interplanar Beacon | Mana Vault | Minsc & Boo, Timeless Heroes",1.0
Island Sanctuary | Remote Farm | Skrelv's Hive,1.0
Mana Tithe | Memnite | Plains,0.0
Ocelot Pride | Plains | Sheltered Valley,1.0
Alpine Moon | Hammerheim | Heartfire Hero,1.0
Ancient Tomb | Field of Ruin | Phyrexian Revoker,1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,1.0
Angel of Sanctions | Icatian Store | Solitude,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Calciform Pools | Mirrex | Soul Partition,0.0
Crystal Vein | Magus of the Moon | Mox Ruby,1.0
Crystal Vein | Magus of the Moon | Simian Spirit Guide,1.0
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Demolition Field | Idol of False Gods | Sol Ring,1.0
Dryad Arbor | Force of Negation | Mental Misstep,1.0
"Elspeth, Sun's Champion | Lotus Bloom | Lotus Bloom",1.0
"Emrakul, the Aeons Torn | Lotus Bloom | Show and Tell",-1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,0.0
Idol of False Gods | Mishra's Foundry | Sol Ring,1.0
Island | Mental Misstep | Sleep-Cursed Faerie,1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,-1.0
"Mishra's Factory | Mox Pearl | Phelia, Exuberant Shepherd",0.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
Remote Farm | Skrelv's Hive | Soul Partition,0.0
Ancient Tomb | Arcbound Slith | Arcbound Slith,0.5
Ancient Tomb | Demolition Field | Phyrexian Revoker,1.0
Ancient Tomb | Dismember | Phyrexian Revoker,-1.0
Ancient Tomb | Drillworks Mole | Sphere of Resistance,0.0
Ancient Tomb | Gut Shot | Phyrexian Revoker,1.0
Ancient Tomb | Idol of False Gods | Phyrexian Revoker,1.0
Ancient Tomb | Lodestone Golem | Mana Vault,0.0
Ancient Tomb | Magus of the Moon | Simian Spirit Guide,1.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,0.0
Ancient Tomb | Remote Farm | The Wandering Emperor,0.0
"Ancient Tomb | Sandstone Needle | Yidaro, Wandering Monster",0.0
Ancient Tomb | Time Vault | Voltaic Servant,1.0
Angel of Sanctions | Fountain of Cho | Solitude,0.0
"Aphelia, Viper Whisperer | Blinkmoth Nexus | Mox Jet",0.5
Assassin Initiate | Evil Presence | Swamp,1.0
Assassin's Trophy | Dryad Arbor | Geothermal Crevice,0.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,1.0
Blinkmoth Nexus | Invasion of Gobakhan | Mox Diamond,1.0
Crawling Chorus | Karakas | Leyline of Singularity,-1.0
Crawling Chorus | Sea's Claim | Tundra,1.0
Crystal Vein | Glass-Cast Heart | Mox Jet,1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,0.0
Crystal Vein | Overlord of the Mistmoors | Remote Farm,-1.0
Dark Ritual | Swamp | Vampire Nighthawk,1.0
Dismember | Eldrazi Temple | Idol of False Gods,-1.0
Dreadhorde Invasion | Hymn to Tourach | Peat Bog,1.0
Dryad Arbor | Dryad Arbor | Lignify,1.0
Eldrazi Ravager | Exhume | Peat Bog,-1.0
Eldrazi Temple | Idol of False Gods | Mental Misstep,1.0
"Emrakul, the Aeons Torn | Sand Silos | Show and Tell",0.0
Encroach | Sleep-Cursed Faerie | Undiscovered Paradise,1.0
Gemstone Mine | Greater Gargadon | Restore Balance,1.0
Generous Plunderer | Oni-Cult Anvil | Sandstone Needle,0.0
Hopeless Nightmare | Swamp | Tel-Jilad Stylus,0.0
Inquisition of Kozilek | Scrubland | Student of Warfare,0.0
Island | Mark of Eviction | Sleep-Cursed Faerie,1.0
Island | Sea's Claim | Sleep-Cursed Faerie,1.0
Karakas | Leyline of Singularity | Mutavault,-1.0
Karakas | Leyline of Singularity | Student of Warfare,-1.0
Karakas | Meddling Mage | Mox Sapphire,-1.0
"Krenko, Baron of Tin Street | Mana Crypt | Mox Ruby",0.0
Living Conundrum | Mental Misstep | Sand Silos,1.0
Luminarch Aspirant | Luminarch Aspirant | Remote Farm,0.0
Magus of the Vineyard | Mossborn Hydra | Undiscovered Paradise,-1.0
Miasmic Mummy | Mox Jet | Unholy Grotto,0.0
"Minsc & Boo, Timeless Heroes | Orcish Lumberjack | Taiga",0.0
Mountain | Village Messenger | Village Messenger,0.5
Mox Emerald | Mutavault | Troublemaker Ouphe,0.5
"Mox Pearl | Mutavault | Phelia, Exuberant Shepherd",0.0
Mox Pearl | Prairie Dog | Rishadan Port,0.0
Mox Ruby | Mutavault | Sphere of Resistance,0.0
Mox Sapphire | Mutavault | Tide Shaper,1.0
Mutavault | Rishadan Port | The Tabernacle at Pendrell Vale,-1.0
Narnam Renegade | Student of Warfare | Undiscovered Paradise,0.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,-1.0
