Opponent Decklist,Result
Abrade | Mishra's Factory | Mox Ruby,0.0
Academy Researchers | Eldrazi Conscription | Lotus Bloom,1.0
Academy Ruins | Calciform Pools | The Filigree Sylex,1.0
Aether Vial | Chancellor of the Tangle | Knight of Autumn,-1.0
"Ajani, Nacatl Pariah | Figure of Destiny | Icatian Store",1.0
"Ajani, Nacatl Pariah | Mox Pearl | Wasteland",1.0
Ali from Cairo | Dwarven Hold | Red Sun's Zenith,1.0
Alpine Moon | Hexdrinker | Undiscovered Paradise,1.0
Ancient Den | Dusk Rose Reliquary | Glint Hawk,0.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,0.0
Ancient Tomb | Isochron Scepter | Verdant Command,1.0
Ancient Tomb | Mox Jet | Unstoppable Slasher,-1.0
Ancient Tomb | Porcelain Legionnaire | Ratchet Bomb,0.0
Angel of Sanctions | Fountain of Cho | Solitude,0.0
"Arcbound Ravager | Mana Crypt | Syr Ginger, the Meal Ender",-1.0
Archon of Cruelty | Lotus Bloom | Show and Tell,-1.0
Autonomous Assembler | Long Road Home | Remote Farm,1.0
Azure Beastbinder | Cyclonic Rift | Saprazzan Skerry,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Bayou | Cabal Therapist | Hexdrinker,1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,1.0
Blighted Agent | Bubble Snare | Svyelunite Temple,1.0
Blightsteel Colossus | Dwarven Hold | Sneak Attack,1.0
Blinkmoth Nexus | Island Sanctuary | Mox Pearl,0.0
Blinkmoth Nexus | Mox Sapphire | Reality Shift,0.0
Bloodhall Ooze | Leyline of the Guildpact | The Tabernacle at Pendrell Vale,0.5
Boros Garrison | Ensnaring Bridge | Keldon Megaliths,1.0
Brain Maggot | Mox Jet | Rishadan Port,1.0
Cavern of Souls | Hexdrinker | Mana Crypt,1.0
Cavern of Souls | Mistbreath Elder | Sunshower Druid,1.0
Chancellor of the Forge | Contagion | Grief,0.0
Chancellor of the Forge | Foil | Island,0.0
Chancellor of the Forge | Force of Despair | Unmask,0.5
Chancellor of the Forge | Pyrokinesis | Wasteland,0.0
Chancellor of the Forge | Vexing Bauble | Wasteland,1.0
"Contested Cliffs | Gruul Turf | Migloz, Maze Crusher",1.0
Crack the Earth | Greater Gargadon | Mountain,-1.0
Crawling Chorus | Curse of Silence | Plains,-1.0
Crystal Vein | Mox Jet | Unstoppable Slasher,-1.0
Curse of Silence | Hexdrinker | Undiscovered Paradise,1.0
"Dargo, the Shipwrecker | Great Furnace | Mana Crypt",0.0
Dark Ritual | Iridescent Vinelasher | Undiscovered Paradise,1.0
Dark Ritual | Rotting Regisaur | Swamp,-1.0
Dark Ritual | Swamp | Unstoppable Slasher,-1.0
Darksteel Citadel | Ensoul Artifact | Mox Sapphire,-1.0
Darksteel Relic | Ensoul Artifact | Saprazzan Skerry,1.0
Daze | Hexdrinker | Tropical Island,1.0
