Opponent Decklist,Result
Ancient Tomb | Dark Depths | Thespian's Stage,1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,1.0
Ancient Tomb | Lupine Prototype | Lupine Prototype,1.0
Ancient Tomb | Steel Overseer | Walking Ballista,1.0
Chalice of the Void | Retrofitter Foundry | Tolarian Academy,-1.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",0.0
Dryad Arbor | Dryad Arbor | Myr Superion,1.0
Dryad Arbor | Force of Will | Snapback,-1.0
Dryad Arbor | Gaea's Cradle | Hexdrinker,1.0
Epochrasite | Irrigation Ditch | Restore Balance,1.0
"Goblin Lackey | Krenko, Mob Boss | Mountain",1.0
Legion's End | Peat Bog | Steel Overseer,1.0
Mishra's Workshop | Phyrexian Dreadnought | Torpor Orb,1.0
"Oko, Thief of Crowns | Simic Growth Chamber | Treetop Village",1.0
Ancient Tomb | Lupine Prototype | Urza's Saga,1.0
Ancient Tomb | Urza's Saga | Void Mirror,-1.0
Anointed Peacekeeper | Black Lotus | Leyline of Sanctity,-1.0
Ash Zealot | Black Lotus | Built to Smash,1.0
Black Lotus | Cabal Therapy | Epochrasite,0.0
Black Lotus | Gideon of the Trials | Icatian Store,1.0
Black Lotus | Karakas | Serra the Benevolent,-0.5
"Black Lotus | Lurrus of the Dream-Den | Omnath, Locus of Mana",1.0
Blackmail | Swamp | The Rack,-1.0
Blazing Rootwalla | Burning Inquiry | Mountain,1.0
Cavern of Souls | Dismember | Hexdrinker,1.0
Cavern of Souls | Hexdrinker | Mental Misstep,1.0
Chancellor of the Forge | Force of Negation | Snapback,-1.0
Chancellor of the Forge | In Too Deep | Sand Silos,1.0
"City of Traitors | Hickory Woodlot | Thrun, the Last Troll",1.0
City of Traitors | Isochron Scepter | Lightning Helix,1.0
City of Traitors | Phyrexian Revoker | Ratchet Bomb,-1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",1.0
Death's Shadow | Path to Exile | Tarnished Citadel,1.0
Ensnaring Bridge | Mishra's Workshop | The Rack,0.0
Hollow Trees | Hollow Trees | Mistcutter Hydra,1.0
Inkmoth Nexus | Karakas | The Tabernacle at Pendrell Vale,0.0
Alpine Moon | Sleep-Cursed Faerie | Volcanic Island,-1.0
Basking Rootwalla | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
Botanical Sanctum | Crashing Footfalls | Sea's Claim,-1.0
Call to the Netherworld | Lion's Eye Diamond | Mesmeric Fiend,0.0
Cenn's Tactician | Karakas | Mental Misstep,-0.5
Chalice of Life | Ensnaring Bridge | Mishra's Workshop,-1.0
Chancellor of the Forge | Karakas | Leyline of Singularity,-1.0
Chancellor of the Forge | Lion's Eye Diamond | Shadowgrange Archfiend,-1.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,1.0
Chronomaton | Curse of Silence | Karakas,-1.0
City of Traitors | Dark Depths | Thespian's Stage,1.0
City of Traitors | Lupine Prototype | Lupine Prototype,1.0
City of Traitors | Magus of the Moon | Simian Spirit Guide,-1.0
Dryad Arbor | Lion's Eye Diamond | Shadowgrange Archfiend,-1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",1.0
Inkmoth Nexus | Karakas | Luminarch Aspirant,0.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",1.0
Karakas | Meddling Mage | Mox Sapphire,-1.0
Lion's Eye Diamond | Necrogoyf | Shadowgrange Archfiend,0.0
"Lion's Eye Diamond | Shelldock Isle | Ulamog, the Infinite Gyre",0.0
Lupine Prototype | Mishra's Workshop | Phyrexian Metamorph,1.0
Mind Swords | Mishra's Factory | Mox Jet,0.0
