Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
Ancient Tomb | Isochron Scepter | Lazotep Plating,0.0
Bayou | Hexdrinker | Inquisition of Kozilek,0.0
"Bottomless Vault | Sheoldred's Edict | Tergrid, God of Fright",-1.0
Chancellor of the Forge | Contagion | Unmask,-1.0
Chancellor of the Forge | Foil | Island,0.0
Chancellor of the Forge | Fury | Mercadian Bazaar,-1.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,-1.0
Crawling Chorus | Plains | Unwanted Remake,0.0
"Daretti, Ingenious Iconoclast | Generous Plunderer | Sandstone Needle",1.0
Daze | Island | Sleep-Cursed Faerie,0.0
"Diamond Lion | Ebondeath, Dracolich | Subterranean Hangar",-1.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.0
Forest | Old-Growth Dryads | Old-Growth Dryads,0.0
Hexdrinker | Mox Emerald | Wasteland,-0.5
Island | Sleep-Cursed Faerie | Wasteland,-0.5
Lotus Bloom | Overlord of the Hauntwoods | Pick Your Poison,0.0
Mox Jet | Nezumi Shortfang | Wasteland,-0.5
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",0.0
Mox Sapphire | Rishadan Port | Sleep-Cursed Faerie,0.0
Plains | Savannah Lions | Unwanted Remake,0.0
Sleep-Cursed Faerie | Tundra | Unwanted Remake,-0.5
"Ajani, Nacatl Pariah | Leonin Relic-Warder | Remote Farm",0.0
Alpine Moon | Hammerheim | Heartfire Hero,-0.5
Ancient Tomb | Isochron Scepter | Verdant Command,0.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,0.0
Atraxi Warden | Prairie Dog | Remote Farm,-1.0
"Boseiju, Who Endures | Sunken Citadel | Treetop Village",-1.0
Chained to the Rocks | Ocelot Pride | Plateau,0.0
Chancellor of the Forge | Fury | Memnite,-0.5
Crawling Barrens | Debt of Loyalty | Fountain of Cho,-1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,0.0
Crystal Vein | Memnite | Sphere of Resistance,0.5
Divine Gambit | Prairie Dog | Remote Farm,1.0
Dreams of Steel and Oil | Scythe Tiger | Undiscovered Paradise,0.5
Drownyard Temple | Hollow Trees | World Breaker,-1.0
Forest | Llanowar Mentor | Worldspine Wurm,0.0
"Golgari Rot Farm | Grist, the Hunger Tide | Mishra's Factory",0.0
"Karakas | Mox Pearl | Thalia, Guardian of Thraben",0.5
"Lotus Bloom | Lotus Bloom | Vraska, Relic Seeker",0.0
Lurrus of the Dream-Den | Subterranean Hangar | Vampire of the Dire Moon,0.0
Mox Jet | Refurbished Familiar | Vault of Whispers,0.0
"Oboro, Palace in the Clouds | Scute Swarm | Simic Growth Chamber",1.0
