Opponent Decklist,Result
"Ajani, Nacatl Pariah | Leonin Relic-Warder | Remote Farm",1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Isochron Scepter | Verdant Command,1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,0.0
"Boseiju, Who Endures | Sunken Citadel | Treetop Village",0.0
Bottomless Vault | Hive of the Eye Tyrant | Inquisition of Kozilek,1.0
Chained to the Rocks | Ocelot Pride | Plateau,-1.0
Chancellor of the Forge | Foil | Island,1.0
Chancellor of the Forge | Fury | Memnite,1.0
Crawling Barrens | Debt of Loyalty | Fountain of Cho,1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,-1.0
Crystal Vein | Memnite | Sphere of Resistance,1.0
Divine Gambit | Prairie Dog | Remote Farm,-1.0
Dreams of Steel and Oil | Scythe Tiger | Undiscovered Paradise,0.0
Drownyard Temple | Hollow Trees | World Breaker,1.0
Forest | Llanowar Mentor | Worldspine Wurm,1.0
"Golgari Rot Farm | Grist, the Hunger Tide | Mishra's Factory",0.0
"Karakas | Mox Pearl | Thalia, Guardian of Thraben",1.0
"Lotus Bloom | Lotus Bloom | Vraska, Relic Seeker",0.0
Lurrus of the Dream-Den | Subterranean Hangar | Vampire of the Dire Moon,1.0
Mox Jet | Refurbished Familiar | Vault of Whispers,1.0
"Oboro, Palace in the Clouds | Scute Swarm | Simic Growth Chamber",1.0
