Opponent Decklist,Result
Ancient Tomb | Isochron Scepter | Lightning Helix,1.0
Ancient Tomb | Lupine Prototype | Lupine Prototype,0.0
Ancient Tomb | Steel Overseer | Walking Ballista,1.0
Chalice of the Void | Retrofitter Foundry | Tolarian Academy,1.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",-1.0
Dryad Arbor | Dryad Arbor | Myr Superion,1.0
Dryad Arbor | Force of Will | Snapback,0.0
Dryad Arbor | Gaea's Cradle | Hexdrinker,1.0
"Emrakul, the Aeons Torn | Lion's Eye Diamond | Shelldock Isle",-1.0
Epochrasite | Irrigation Ditch | Restore Balance,1.0
"Goblin Lackey | Krenko, Mob Boss | Mountain",1.0
Legion's End | Peat Bog | Steel Overseer,1.0
Mishra's Workshop | Phyrexian Dreadnought | Torpor Orb,0.0
"Oko, Thief of Crowns | Simic Growth Chamber | Treetop Village",1.0
"Aether Vial | Anim Pakal, Thousandth Moon | Pendelhaven",1.0
"Ancient Tomb | Davriel, Rogue Shadowmage | Mox Jet",-1.0
Bayou | Cabal Therapy | Swarm Shambler,1.0
Bitterblossom | Mishra's Factory | Mox Jet,-1.0
Bitterblossom | Peat Bog | Smallpox,-1.0
Blazing Shoal | Chancellor of the Forge | Mercadian Bazaar,1.0
Bloodhall Ooze | Swarm Shambler | Taiga,1.0
Castle Ardenvale | Icatian Store | Path to Exile,-1.0
Commandeer | Mental Misstep | Misdirection,1.0
Crashing Footfalls | Detention Vortex | Razorverge Thicket,1.0
Crashing Footfalls | Path to Exile | Savannah,-1.0
Deep-Cavern Bat | Mox Jet | Mutavault,1.0
"Drop of Honey | Hollow Trees | Nissa, Ascended Animist",1.0
"Dwarven Hold | Fury | Squee, the Immortal",1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",0.0
Field of Ruin | Mishra's Factory | Mox Jet,-1.0
Force of Despair | Grief | Memnite,1.0
"Forest | Llanowar Mentor | Ulamog, the Infinite Gyre",1.0
Grove of the Burnwillows | Punishing Fire | Rishadan Port,1.0
Hollow Trees | Nullhide Ferox | Song of the Dryads,1.0
Icatian Store | Leyline of Sanctity | Opalescence,1.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,1.0
Memnite | Memnite | Memnite,1.0
Pithing Needle | Retrofitter Foundry | Tolarian Academy,1.0
Agent of Treachery | Force of Negation | Sand Silos,1.0
Alpine Moon | Hexdrinker | Taiga,-1.0
Blightsteel Colossus | Lotus Bloom | Show and Tell,1.0
Boros Garrison | Hellion Crucible | Soul Partition,-1.0
Bottomless Vault | Plague Engineer | Plague Engineer,1.0
City of Traitors | Dungeon Map | Mox Jet,1.0
City of Traitors | Field of Ruin | Phyrexian Revoker,-1.0
City of Traitors | Hex Parasite | Phyrexian Revoker,1.0
City of Traitors | Isochron Scepter | Verdant Command,1.0
"Elspeth, Sun's Champion | Lotus Bloom | Lotus Bloom",1.0
Forest | Glistener Elf | Rancor,1.0
Forest | Hexdrinker | Pick Your Poison,1.0
Glint Hawk | Glint Hawk | Mox Pearl,1.0
Harvester of Misery | Peat Bog | Reanimate,1.0
Hoverstone Pilgrim | Sheoldred's Edict | Subterranean Hangar,0.5
Inkmoth Nexus | Mox Jet | Traumatic Revelation,1.0
Memnite | Mental Misstep | Subtlety,1.0
Mox Pearl | Prairie Dog | Rishadan Port,1.0
Nested Shambler | Tendrils of Despair | Urborg,-1.0
Okiba Reckoner Raid | Swamp | Thoughtseize,1.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
