Opponent Decklist,Result
Alpine Moon | Inkmoth Nexus | Mox Ruby,0.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-1.0
Bitterblossom | Desert | Mox Jet,-1.0
Bitterblossom | Mox Jet | Rishadan Port,-1.0
Bitterblossom | Peat Bog | Smallpox,1.0
Bitterblossom | Peat Bog | Thoughtseize,1.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,1.0
Cavern of Souls | Glissa Sunslayer | Peat Bog,1.0
Chancellor of the Annex | Fountain of Cho | Get Lost,1.0
Chancellor of the Annex | Fountain of Cho | Leyline of Sanctity,1.0
Cleansing Wildfire | Den of the Bugbear | Molten Slagheap,1.0
Dark Depths | Lotus Bloom | Solemnity,-1.0
"Dark Depths | Urborg, Tomb of Yawgmoth | Vampire Hexmage",1.0
"Dark Ritual | Drana, Liberator of Malakir | Shizo, Death's Storehouse",-1.0
Dauthi Voidwalker | Peat Bog | Thoughtseize,1.0
Deep-Cavern Bat | Mox Jet | Rishadan Port,-1.0
Dryad Arbor | Force of Despair | Grief,0.0
"Energy Field | Jace, Wielder of Mysteries | Sand Silos",1.0
"Energy Field | Sand Silos | Ulamog, the Ceaseless Hunger",1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",1.0
Fountain of Cho | Porphyry Nodes | The Wandering Emperor,1.0
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Assassin's Trophy | Geothermal Crevice | Keldon Halberdier,1.0
Crack the Earth | Taiga | Young Wolf,0.0
Crystal Vein | Elite Spellbinder | Mox Pearl,-1.0
Crystal Vein | Magus of the Moon | Simian Spirit Guide,-1.0
Drop of Honey | Forbidden Orchard | Sleep-Cursed Faerie,0.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",1.0
Eldrazi Temple | Idol of False Gods | Pithing Needle,0.0
Inquisition of Kozilek | Subterranean Hangar | Tomb of Urami,-1.0
Karakas | Leyline of Singularity | Student of Warfare,1.0
"Krenko, Baron of Tin Street | Mana Crypt | Mox Ruby",-1.0
Mental Misstep | Remote Farm | Skrelv's Hive,1.0
Prairie Dog | Prairie Dog | Remote Farm,1.0
Prairie Dog | Remote Farm | Soul Partition,1.0
Sarcomancy | Swamp | Tel-Jilad Stylus,-1.0
