Opponent Decklist,Result
Alpine Moon | Inkmoth Nexus | Mountain,-1.0
Angel of Sanctions | Icatian Store | Solitude,1.0
Cenn's Tactician | Path to Exile | Plains,1.0
"Containment Priest | Phelia, Exuberant Shepherd | Remote Farm",0.0
Dark Ritual | Rotting Regisaur | Swamp,1.0
Daze | Icehide Golem | Snow-Covered Island,0.0
Dryad Arbor | Force of Despair | Grief,0.0
Dryad Arbor | Springheart Nantuko | Undiscovered Paradise,0.5
Flash | Gruff Triplets | Saprazzan Skerry,-1.0
Forest | Hexdrinker | Mental Misstep,1.0
Forest | Llanowar Mentor | Vigor,0.5
Gleeful Demolition | Mountain | Voldaren Epicure,1.0
Inkmoth Nexus | Ruins of Oran-Rief | The Filigree Sylex,1.0
Karakas | Meddling Mage | Mox Sapphire,1.0
Mox Emerald | Outland Liberator | Rishadan Port,0.0
Nix | Ocelot Pride | Tundra,1.0
Ocelot Pride | Ocelot Pride | Plains,0.0
Ocelot Pride | Scrubland | Thoughtseize,-0.5
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Radiant Solar | Reanimate | Scrubland,1.0
Abu Ja'far | Mistbreath Elder | Undiscovered Paradise,1.0
"Ajani, Nacatl Pariah | Boseiju, Who Endures | Selesnya Sanctuary",0.5
Akoum Hellhound | Blazing Rootwalla | Undiscovered Paradise,1.0
Ancient Tomb | Hickory Woodlot | Nullhide Ferox,0.0
Ancient Tomb | Steel Overseer | Steel Overseer,0.0
Bandit's Talent | Mishra's Factory | Mox Jet,-1.0
Blinkmoth Nexus | Cathedral of War | Hex Parasite,1.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,1.0
"Boseiju, Who Endures | Dryad Arbor | Mishra's Factory",0.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
Celestial Flare | Remote Farm | Skrelv's Hive,1.0
Chancellor of the Forge | Foil | Island,0.0
Cruel Sadist | Swamp | Thoughtseize,0.0
Daze | Hexdrinker | Tropical Island,-1.0
Dryad Arbor | Force of Vigor | Mistbreath Elder,1.0
Hammerheim | Heartfire Hero | Lightning Bolt,1.0
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,-1.0
Ocelot Pride | Scrubland | Snuff Out,0.0
Acquisitions Expert | Blinkmoth Nexus | Mox Jet,1.0
"Ajani, Nacatl Pariah | Divine Gambit | Remote Farm",0.0
Ancient Tomb | Drillworks Mole | Sphere of Resistance,-1.0
Ancient Tomb | Isochron Scepter | Verdant Command,-1.0
Ancient Tomb | Phyrexian Revoker | Steel Overseer,0.0
Archangel Elspeth | Icatian Store | Island Sanctuary,0.0
Azure Beastbinder | Azure Beastbinder | Saprazzan Skerry,-1.0
Bazaar of Baghdad | Subterranean Hangar | Vengeful Pharaoh,1.0
Blooming Marsh | Hexdrinker | Inquisition of Kozilek,-1.0
Boros Garrison | Borrowed Time | Keldon Megaliths,1.0
Cathar Commando | Icatian Store | Sunfall,1.0
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
Chancellor of the Forge | Foil | Mystic Sanctuary,0.0
Cruelclaw's Heist | Dreadship Reef | Mox Jet,0.0
Crystal Vein | Crystal Vein | Eater of Days,1.0
Crystal Vein | Magus of the Moon | Mox Ruby,-1.0
Dismember | Hammerheim | Heartfire Hero,1.0
Dreadhorde Invasion | Etched Slith | Peat Bog,0.5
Fury Charm | Gargadon | Sandstone Needle,1.0
"Luminarch Aspirant | Phelia, Exuberant Shepherd | Remote Farm",0.0
Memnite | Memnite | Memnite,1.0
Restore Balance | Shivan Sand-Mage | Undiscovered Paradise,1.0
