Opponent Decklist,Result
Barren Glory | Lotus Bloom | Lotus Bloom,0.0
Bayou | Cabal Therapist | Hexdrinker,1.0
Blighted Agent | Bubble Snare | Svyelunite Temple,1.0
Chancellor of the Forge | Pyrokinesis | Wasteland,-1.0
Dark Ritual | Swamp | Unstoppable Slasher,0.0
Darksteel Relic | Ensoul Artifact | Saprazzan Skerry,1.0
Daze | Island | Sleep-Cursed Faerie,0.0
Fear of Lost Teeth | Mox Jet | Wasteland,1.0
Foil | Island | Wasteland,0.0
Fountain of Cho | Gideon of the Trials | The Tabernacle at Pendrell Vale,0.0
Icatian Store | Runed Halo | Solitude,1.0
Lodestone Golem | Planar Nexus | Urza's Tower,1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,1.0
Mox Jet | Nezumi Shortfang | Wasteland,1.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",0.0
Accursed Marauder | Bottomless Vault | Tithing Blade,1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,0.0
Axebane Ferox | Pick Your Poison | Rushwood Grove,1.0
Bandit's Talent | Fatal Push | Peat Bog,1.0
Bandit's Talent | Mishra's Factory | Mox Jet,0.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,-1.0
"Boseiju, Who Endures | Hexdrinker | Simic Growth Chamber",1.0
"Boseiju, Who Endures | Hexdrinker | Sunken Citadel",1.0
Dakmor Salvage | Ethereal Absolution | Fountain of Cho,1.0
Dismember | Ocelot Pride | Plains,0.0
Divine Gambit | Remote Farm | Skrelv's Hive,-1.0
Forbidden Orchard | Icatian Moneychanger | The Millennium Calendar,1.0
Get Lost | Remote Farm | Skrelv's Hive,-1.0
Hexdrinker | Thoughtseize | Undiscovered Paradise,0.0
Hollow Trees | Squirrel Nest | Treetop Village,1.0
Memnite | Mountain | Raze,1.0
Misdirection | Misthollow Griffin | Sand Silos,1.0
"Phelia, Exuberant Shepherd | Remote Farm | Resolute Reinforcements",1.0
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise,0.0
Aether Refinery | Braid of Fire | Sandstone Needle,1.0
"Ajani, Nacatl Pariah | Phelia, Exuberant Shepherd | Remote Farm",0.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
Ancient Tomb | Isochron Scepter | Selesnya Charm,-1.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,0.0
Ancient Tomb | Mox Emerald | Words of Wilding,-1.0
Ancient Tomb | Mox Ruby | Stingerback Terror,1.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,0.0
Augur of Skulls | Blinkmoth Nexus | Mox Jet,1.0
Boros Garrison | Island Sanctuary | Keldon Megaliths,-1.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",1.0
"Cavern of Souls | Isamaru, Hound of Konda | Selfless Savior",1.0
Chancellor of the Forge | Foil | Island,-1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,0.0
Daze | Hexdrinker | Tropical Island,0.0
Daze | Island | Rishadan Dockhand,0.5
Desert | Mishra's Factory | The Tabernacle at Pendrell Vale,1.0
Dismember | Dryad Arbor | Noxious Revival,0.0
Dreams of Steel and Oil | Hexdrinker | Undiscovered Paradise,0.0
Dryad Arbor | Force of Despair | Grief,0.0
Dryad Arbor | Hexdrinker | Pick Your Poison,1.0
Dwarven Hold | Ensnaring Bridge | Keldon Megaliths,-1.0
"Emrakul, the Aeons Torn | Lotus Bloom | Show and Tell",-1.0
Floodbringer | Mox Sapphire | Sunscorched Desert,1.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,1.0
Fungal Reaches | Lair of the Hydra | Treasonous Ogre,1.0
"Icatian Store | Island Sanctuary | Ulamog, the Infinite Gyre",0.0
Island | Sea's Claim | Sleep-Cursed Faerie,1.0
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,1.0
Karakas | Leyline of Singularity | Loyal Sentry,0.0
Keldon Megaliths | Sunken Citadel | The Tabernacle at Pendrell Vale,1.0
Kor Haven | Skrelv's Hive | Sunken Citadel,-1.0
Llanowar Mentor | Pendelhaven | Vigor,0.5
Mishra's Factory | Mox Jet | Sphere of Resistance,0.5
Mishra's Factory | Mox Sapphire | Volatile Stormdrake,0.0
Riftwing Cloudskate | Saprazzan Skerry | Watcher of Hours,1.0
"Ajani, Nacatl Pariah | Divine Gambit | Remote Farm",-1.0
Ancient Tomb | Animating Faerie | Tanglepool Bridge,0.0
Ancient Tomb | Crystalline Giant | Demolition Field,1.0
"Contested Cliffs | Gruul Turf | Migloz, Maze Crusher",1.0
Crystal Vein | Memnite | Sphere of Resistance,1.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.5
Dryad Arbor | Force of Negation | Mental Misstep,-1.0
Etched Slith | Peat Bog | Sheoldred's Edict,0.0
Faithbound Judge | Icatian Store | Island Sanctuary,0.0
Forest | Hexdrinker | Mental Misstep,1.0
Greater Gargadon | Inspiring Vantage | Restore Balance,1.0
Hexdrinker | Undiscovered Paradise | Unwanted Remake,-1.0
Hollow Trees | Primordial Hydra | The Tabernacle at Pendrell Vale,1.0
Mishra's Factory | Mox Jet | Nezumi Graverobber,1.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
Reinforced Ronin | Slagwoods Bridge | Teething Wurmlet,1.0
