Opponent Decklist,Result
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",0.0
Alpine Moon | Copperline Gorge | Hexdrinker,-0.5
Ancient Tomb | Isochron Scepter | Lightning Helix,0.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
Bandit's Talent | Mishra's Factory | Mox Jet,0.0
Bandit's Talent | Mox Jet | Mutavault,0.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,-0.5
"Boseiju, Who Endures | Mox Emerald | Mutavault",-0.5
Chancellor of the Forge | Dwarven Hold | Fury,1.0
Chancellor of the Forge | Foil | Island,-1.0
Chaplain of Alms | Karakas | Leyline of Singularity,1.0
Cruelclaw's Heist | Mox Jet | Swamp,0.5
Daze | Island | Sleep-Cursed Faerie,0.0
Daze | Sleep-Cursed Faerie | Volcanic Island,0.0
Dismember | Hammerheim | Heartfire Hero,-0.5
Glint Hawk | Glint Hawk | Mox Pearl,0.0
Hammerheim | Heartfire Hero | Heartfire Hero,-1.0
Remote Farm | Skrelv's Hive | Soul Partition,0.0
Sleep-Cursed Faerie | Thoughtseize | Underground Sea,0.0
Alpine Moon | Hammerheim | Heartfire Hero,-0.5
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,0.0
Ancient Tomb | Phyrexian Revoker | Steel Overseer,-0.5
Anointed Peacekeeper | Crystal Vein | Lotus Petal,0.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,0.0
"Anzrag, the Quake-Mole | Dwarven Hold | Laser Screwdriver",1.0
Archon of Cruelty | Saprazzan Cove | Show and Tell,1.0
Consign to Memory | Phyrexian Dreadnought | Sand Silos,-1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,0.0
Dryad Arbor | Mental Misstep | Mistbreath Elder,1.0
Forest | Hexdrinker | Mental Misstep,0.0
Hammerheim | Heartfire Hero | Lightning Bolt,-0.5
High Market | Mox Sapphire | Sinister Concierge,0.0
Invasion of Gobakhan | Mishra's Factory | Mox Pearl,0.0
Island | Sea's Claim | Slippery Bogle,1.0
Lotus Bloom | Mental Misstep | True-Name Nemesis,1.0
Peat Bog | Smallpox | Tribute to Horobi,0.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",0.5
