Opponent Decklist,Result
Academy Researchers | Eldrazi Conscription | Lotus Bloom,0.0
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
Ancient Tomb | Mox Jet | Unstoppable Slasher,1.0
Bloodhall Ooze | Leyline of the Guildpact | The Tabernacle at Pendrell Vale,-1.0
Chancellor of the Forge | Pyrokinesis | Wasteland,-1.0
"Dargo, the Shipwrecker | Great Furnace | Mana Crypt",1.0
Dark Ritual | Iridescent Vinelasher | Undiscovered Paradise,1.0
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Daze | Hexdrinker | Tropical Island,1.0
Daze | Island | Sleep-Cursed Faerie,1.0
Divine Gambit | Prairie Dog | Remote Farm,-1.0
Freed from the Real | Hickory Woodlot | Twitching Doll,-1.0
Hammerheim | Heartfire Hero | Kumano Faces Kakkazan,1.0
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,-0.5
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,-1.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
Remote Farm | Skrelv's Hive | Soul Partition,-1.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",0.0
Ancient Tomb | Steel Overseer | Steel Overseer,-0.5
Angel of Sanctions | Icatian Store | Maze of Ith,-1.0
Azure Beastbinder | Mana Drain | Saprazzan Skerry,1.0
Bandit's Talent | Mishra's Factory | Mox Jet,-1.0
Bandit's Talent | Mox Jet | Mutavault,-1.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",0.0
"Bottomless Vault | Smallpox | Ulamog, the Infinite Gyre",1.0
Chancellor of the Forge | Foil | Island,1.0
Darksteel Citadel | Ensoul Artifact | Mox Sapphire,0.0
Drop of Honey | Hollow Trees | Tender Wildguide,0.5
Flash | Saprazzan Skerry | Worldspine Wurm,-1.0
Force of Vigor | Hollow Trees | Nullhide Ferox,1.0
Karakas | Leyline of Singularity | Ocelot Pride,-1.0
Riftwing Cloudskate | Saprazzan Skerry | Star Whale,1.0
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise,-0.5
Academy Ruins | Dreadship Reef | The Filigree Sylex,-1.0
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",-1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
Ancient Tomb | Mox Ruby | Stingerback Terror,1.0
Ancient Tomb | Phyrexian Revoker | Steel Overseer,0.5
Ancient Tomb | Time Vault | Voltaic Servant,1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,0.0
Bilious Skulldweller | Dreams of Steel and Oil | Swamp,0.0
Consign to Memory | Phyrexian Dreadnought | Saprazzan Skerry,-1.0
Cry of Contrition | Sleep-Cursed Faerie | Undiscovered Paradise,-0.5
Dauthi Voidwalker | Peat Bog | Sheoldred's Edict,-1.0
Dreadhorde Invasion | Mox Jet | Rishadan Port,-1.0
Giver of Runes | Ocelot Pride | Plains,0.0
"Hexdrinker | The Tabernacle at Pendrell Vale | Yavimaya, Cradle of Growth",-1.0
"Izzet Boilerworks | The Tabernacle at Pendrell Vale | Yidaro, Wandering Monster",0.0
Karakas | Leyline of Singularity | Student of Warfare,-1.0
Kefnet's Last Word | Living Conundrum | Sand Silos,1.0
Aether Vial | Chancellor of the Tangle | Phylactery Lich,0.0
Ancient Tomb | Swamp | Unstoppable Slasher,1.0
Blazing Rootwalla | Slagwoods Bridge | Sonic Seizure,0.0
Brain Maggot | Dreadhorde Invasion | Peat Bog,0.0
Brain Maggot | Mox Jet | Mutavault,-0.5
Cabal Therapist | Shambling Ghast | Swamp,1.0
Cauldron Familiar | Swamp | Witch's Oven,0.0
Crystal Vein | Goblin Rabblemaster | Mox Ruby,1.0
Drop of Honey | Sunken Citadel | Treetop Village,-1.0
Dryad Arbor | Karakas | Leyline of Singularity,-1.0
Dryad Arbor | Springheart Nantuko | Undiscovered Paradise,-1.0
Exquisite Huntmaster | Garza's Assassin | Subterranean Hangar,0.5
Island | Sea's Claim | Sleep-Cursed Faerie,-0.5
Jetmir's Garden | Unwanted Remake | Wild Nacatl,-1.0
