Opponent Decklist,Result
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,0.0
Argent Dais | Inkmoth Nexus | Mox Pearl,1.0
Basking Rootwalla | Blazing Rootwalla | Taiga,1.0
Bayou | Hexdrinker | Thoughtseize,-1.0
City of Traitors | Disruptor Flute | Idol of False Gods,-1.0
City of Traitors | Drillworks Mole | Sphere of Resistance,1.0
City of Traitors | Elixir of Immortality | The Filigree Sylex,0.5
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
Curse of Silence | Inkmoth Nexus | Mox Pearl,1.0
Dryad Arbor | Force of Despair | Grief,1.0
"Emrakul, the Aeons Torn | Sand Silos | Show and Tell",1.0
Field of Ruin | Sunken Citadel | Treetop Village,-1.0
Forest | Hexdrinker | Pick Your Poison,1.0
Icatian Store | Island Sanctuary | Luminarch Ascension,1.0
Island | Sleep-Cursed Faerie | Strix Serenade,0.0
"Karakas | Mox Pearl | Phelia, Exuberant Shepherd",0.0
Mox Emerald | Outland Liberator | Rishadan Port,0.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",0.0
Ocelot Pride | Ocelot Pride | Plains,-0.5
Ocelot Pride | Path to Exile | Plains,0.0
"Outland Liberator | The Tabernacle at Pendrell Vale | Yavimaya, Cradle of Growth",1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Remote Farm | Westfold Rider | White Orchid Phantom,-1.0
Aether Vial | Chancellor of the Tangle | Endurance,1.0
Alpine Moon | Goblin Vandal | Mountain,1.0
Ancient Tomb | Hangarback Walker | Warping Wail,0.5
Ancient Tomb | Steel Golem | Warping Wail,1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,0.0
Bitterblossom | Mishra's Factory | Mox Jet,-1.0
Bloodghast | Bone Shards | Undiscovered Paradise,1.0
Bottomless Vault | Murderous Rider | Noxious Revival,0.0
Cenn's Tactician | Path to Exile | Plains,0.5
Chain of Smog | Mishra's Factory | Mox Jet,-1.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
Chancellor of the Forge | Karakas | Mana Tithe,1.0
Chancellor of the Forge | Path to Exile | Plains,1.0
