Opponent Decklist,Result
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,0.0
Ancient Tomb | Chalice of the Void | Phyrexian Revoker,0.0
Assassin's Trophy | Dryad Arbor | Volatile Fault,1.0
Bottomless Vault | Dino DNA | Gingerbrute,1.0
Cavern of Souls | Glittering Lynx | Scythe Tiger,0.5
Cenn's Tactician | Path to Exile | Plains,-1.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Fountain of Cho | Gideon of the Trials,1.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",-1.0
Claim | Judge's Familiar | Scrubland,1.0
"Contested Game Ball | Icatian Store | Tomorrow, Azami's Familiar",1.0
Copperline Gorge | Crack the Earth | Crashing Footfalls,1.0
"Dwarven Hold | Fury | Squee, the Immortal",-1.0
Foil | Island | The Tabernacle at Pendrell Vale,0.0
Force of Despair | Grief | Memnite,-1.0
Forest | Haywire Mite | Swarm Shambler,0.0
Guul Draz Assassin | Karakas | Swamp,0.0
Island Sanctuary | Mox Pearl | Volatile Fault,0.0
Karakas | Mana Tithe | Path to Exile,0.5
Karakas | Mox Pearl | Skrelv's Hive,1.0
Nether Spirit | Simian Spirit Guide | Sonic Seizure,0.0
