Opponent Decklist,Result
Ancient Tomb | Chalice of the Void | Porcelain Legionnaire,1.0
Ancient Tomb | Havenwood Battleground | Nullhide Ferox,1.0
Ancient Tomb | Steel Overseer | Steel Overseer,-0.5
Angel of Sanctions | Fountain of Cho | Path to Exile,1.0
Bitterblossom | Bitterblossom | Peat Bog,1.0
Bloodforged Battle-Axe | Fervent Champion | Hammerheim,0.0
Chancellor of the Forge | Chancellor of the Forge | Mercadian Bazaar,1.0
Chancellor of the Forge | Fury | Mercadian Bazaar,1.0
Crawling Barrens | Sunken Citadel | Sunken Citadel,1.0
Curse of Silence | Mother of Runes | Plains,-1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",-1.0
Dodecapod | Nullhide Ferox | Rushwood Grove,1.0
Dwarven Hold | Dwarven Hold | Worldfire,1.0
Elvish Spirit Guide | Simian Spirit Guide | Skylasher,1.0
Forest | Hexdrinker | Noxious Revival,1.0
Fountain of Cho | Porphyry Nodes | The Wandering Emperor,-1.0
"Fury | Mercadian Bazaar | Squee, the Immortal",1.0
Gather the Townsfolk | Karakas | Mistveil Plains,1.0
Gilded Drake | Homeward Path | Mistvault Bridge,1.0
God-Pharaoh's Statue | Marrow Shards | Sand Silos,1.0
Hangarback Walker | Khalni Garden | Savage Summoning,1.0
Hexdrinker | Path to Exile | Undiscovered Paradise,1.0
Mercadian Bazaar | Red Sun's Zenith | Wild Magic Surge,1.0
"Peat Bog | Rograkh, Son of Rohgahh | Vorpal Sword",1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Demolition Field | Phyrexian Revoker,0.0
Ancient Tomb | Time Vault | Voltaic Servant,0.0
Crawling Chorus | Karakas | Leyline of Singularity,-1.0
Crystal Vein | Overlord of the Mistmoors | Remote Farm,0.0
Dark Ritual | Swamp | Unstoppable Slasher,0.0
Dark Ritual | Swamp | Vampire Nighthawk,1.0
Dreadhorde Invasion | Hymn to Tourach | Peat Bog,0.0
Eldrazi Ravager | Exhume | Peat Bog,-0.5
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",0.0
Generous Plunderer | Oni-Cult Anvil | Sandstone Needle,0.0
Island | Mark of Eviction | Sleep-Cursed Faerie,-1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Mox Ruby | Mutavault | Sphere of Resistance,-1.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,1.0
Piranha Marsh | Sarcomancy | Tel-Jilad Stylus,1.0
Prairie Dog | Remote Farm | Soul Partition,-0.5
