Opponent Decklist,Result
Aether Vial | Karakas | Mangara of Corondor,0.0
Ajani Vengeant | Crystal Vein | Tinder Farm,1.0
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",1.0
"Ajani, Nacatl Pariah | Mox Pearl | Rishadan Port",-0.5
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Mox Emerald | Words of Wilding,0.0
Angel of Sanctions | Icatian Store | Ice Floe,-1.0
"Auriok Champion | Phelia, Exuberant Shepherd | Remote Farm",1.0
Blazing Hope | Crawling Chorus | Snow-Covered Plains,0.5
Blinkmoth Nexus | Invasion of Gobakhan | Mox Pearl,0.0
"Boseiju, Who Endures | Mox Emerald | Mutavault",-1.0
Dismember | Hammerheim | Heartfire Hero,0.0
Dryad Arbor | Jaddi Offshoot | Mistbreath Elder,1.0
"Dryad Arbor | Karakas | Mikaeus, the Lunarch",1.0
Encroach | Scythe Tiger | Undiscovered Paradise,0.0
Etched Slith | Peat Bog | Sheoldred's Edict,1.0
Field of Ruin | Selesnya Sanctuary | Treetop Village,-1.0
"Fynn, the Fangbearer | Hickory Woodlot | Kappa Tech-Wrecker",1.0
Island | Sea's Claim | Sleep-Cursed Faerie,0.0
Keldon Megaliths | Pithing Needle | Sunken Citadel,-1.0
Mockingbird | Ocelot Pride | Undiscovered Paradise,0.5
Mountain | Storm World | Wayward Guide-Beast,0.5
Aether Vial | Chancellor of the Tangle | Knight of Autumn,0.0
Alpine Moon | Mountain | Stromkirk Noble,0.5
Ancient Tomb | Chalice of the Void | Coretapper,0.0
Ancient Tomb | Idol of False Gods | Ruins of Oran-Rief,-1.0
Ancient Tomb | Isochron Scepter | Selesnya Charm,1.0
Ancient Tomb | Mox Sapphire | Visage Bandit,0.0
Animal Sanctuary | Sacred Cat | Sunken Citadel,-1.0
Artifact Blast | Dryad Arbor | Simian Spirit Guide,-1.0
Azure Beastbinder | Mockingbird | Saprazzan Skerry,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Blazing Rootwalla | Foil | Volcanic Island,0.0
Blazing Volley | Hammerheim | Heartfire Hero,0.0
Bottomless Vault | Culling Scales | Grave Titan,-1.0
Campfire | Eldrazi Temple | Idol of False Gods,0.0
Cleansing Wildfire | Mishra's Factory | Mox Ruby,0.0
Dark Ritual | Hypnotic Specter | Swamp,0.0
Dark Ritual | Swamp | Unstoppable Slasher,0.0
Darksteel Citadel | Ensoul Artifact | Mox Sapphire,0.0
Divine Intervention | Fountain of Cho | Oppressive Rays,1.0
Eldrazi Temple | Field of Ruin | Idol of False Gods,-1.0
Eldrazi Temple | Idol of False Gods | Kozilek's Command,0.0
Eldrazi Temple | Idol of False Gods | Pithing Needle,0.0
Encroach | Student of Warfare | Undiscovered Paradise,0.0
Forbidden Orchard | Peat Bog | Suspended Sentence,1.0
Gaea's Cradle | Jade Mage | Khalni Garden,1.0
Gather the Townsfolk | Karakas | Mistveil Plains,1.0
Generous Plunderer | Sandstone Needle | Stasis,1.0
Glistener Elf | Glistener Elf | Pendelhaven,0.5
Hymn to Tourach | Peat Bog | Smallpox,1.0
Inventor's Apprentice | Lightning Bolt | Mox Ruby,0.5
Karakas | Leyline of Singularity | Restore Balance,1.0
Legacy's Allure | Saprazzan Skerry | Warkite Marauder,1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-0.5
Mishra's Factory | Rishadan Port | The Tabernacle at Pendrell Vale,0.0
On Thin Ice | Rimebound Dead | Snowfield Sinkhole,1.0
Prairie Dog | Remote Farm | Soul Partition,1.0
Sarcomancy | Swamp | Tel-Jilad Stylus,0.5
