Opponent Decklist,Result
Aether Vial | Chancellor of the Tangle | Knight of Autumn,-1.0
"Ajani, Nacatl Pariah | Boros Garrison | The Tabernacle at Pendrell Vale",1.0
"Ajani, Nacatl Pariah | Prairie Dog | Remote Farm",1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
"Ancient Tomb | Sandstone Needle | Yidaro, Wandering Monster",0.0
Assassin Initiate | Evil Presence | Swamp,0.0
Bayou | Dreams of Steel and Oil | Hexdrinker,0.5
Blast Zone | Keldon Megaliths | Sunken Citadel,1.0
"Cruelclaw's Heist | Mishra's Factory | Urborg, Tomb of Yawgmoth",0.0
Daze | Hexdrinker | Tropical Island,0.5
Daze | Island | Sleep-Cursed Faerie,-0.5
Dryad Arbor | Dryad Arbor | Dryad Arbor,0.0
"Forsaken City | Senu, Keen-Eyed Protector | Valentin, Dean of the Vein",1.0
Get Lost | Island Sanctuary | Remote Farm,0.0
Hexdrinker | Savannah | Unwanted Remake,0.0
"Jan Jansen, Chaos Crafter | Tinder Farm | Vault of Whispers",1.0
Living Conundrum | Mana Vault | Saprazzan Skerry,-1.0
Memnite | Memnite | Memnite,1.0
Mox Pearl | Nurturing Pixie | Nurturing Pixie,0.5
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",0.0
Ruins Recluse | Rushwood Grove | Swarmyard,1.0
Academy Ruins | Calciform Pools | The Filigree Sylex,1.0
Ancient Tomb | Idol of False Gods | Phyrexian Revoker,0.5
Ancient Tomb | Mana Vault | Thought-Knot Seer,1.0
Ancient Tomb | Remote Farm | The Wandering Emperor,0.0
Ancient Tomb | Time Vault | Voltaic Servant,-1.0
"Aphelia, Viper Whisperer | Blinkmoth Nexus | Mox Jet",0.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,-1.0
Dark Ritual | Swamp | Unstoppable Slasher,1.0
"Elspeth, Sun's Champion | Lotus Bloom | Lotus Bloom",1.0
"Emrakul, the Aeons Torn | Sand Silos | Show and Tell",1.0
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",1.0
Island | Mental Misstep | Sleep-Cursed Faerie,-0.5
"Phelia, Exuberant Shepherd | Remote Farm | White Knight",0.0
Remote Farm | Skrelv's Hive | Soul Partition,-1.0
