Opponent Decklist,Result
Academy Researchers | Lotus Bloom | Octopus Umbra,1.0
"Ajani, Nacatl Pariah | Boros Garrison | Hellion Crucible",0.0
"Ajani, Nacatl Pariah | Curse of Silence | Remote Farm",-1.0
"Ajani, Nacatl Pariah | Karakas | Mox Pearl",-1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,-1.0
Ancient Tomb | Eldrazi Linebreaker | Simian Spirit Guide,0.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
"Boseiju, Who Endures | Hexdrinker | Simic Growth Chamber",-1.0
Bottomless Vault | Nether Spirit | Smallpox,1.0
Cavern of Souls | Flare of Malice | Nezumi Linkbreaker,1.0
Chancellor of the Forge | Dwarven Hold | Pyrokinesis,-1.0
Dark Ritual | Phyrexian Crusader | Swamp,1.0
Dauthi Voidwalker | Peat Bog | Sheoldred's Edict,-1.0
Forest | Hexdrinker | Hexdrinker,-1.0
Karakas | Ocelot Pride | Path to Exile,-1.0
Mesmeric Fiend | Mox Jet | Rishadan Port,1.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",1.0
Nether Spirit | Simian Spirit Guide | Sonic Seizure,0.0
O-Naginata | Reckless Waif | Sandstone Needle,1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Bitterblossom | Mishra's Factory | Mox Jet,1.0
Blazing Rootwalla | Foil | Volcanic Island,0.0
Bottomless Vault | Hopeless Nightmare | Murderous Rider,1.0
Bottomless Vault | Inkmoth Nexus | Murderous Rider,1.0
Bronzehide Lion | Forest | Plains,1.0
Chancellor of the Forge | Dwarven Hold | Fury,0.0
Chancellor of the Tangle | Force of Vigor | Hope of Ghirapur,1.0
Chaplain of Alms | Gut Shot | Karakas,1.0
Cleansing Wildfire | Den of the Bugbear | Molten Slagheap,1.0
Collective Brutality | Nether Spirit | Peat Bog,1.0
Dark Ritual | Rotting Regisaur | Swamp,-1.0
Daze | Island | Stonecoil Serpent,1.0
Divine Gambit | Remote Farm | Skrelv's Hive,-1.0
Dryad Arbor | Gaea's Cradle | Hexdrinker,0.0
"Dunes of the Dead | Smallpox | Urborg, Tomb of Yawgmoth",0.0
"Fountain of Cho | Path to Exile | Ulamog, the Infinite Gyre",1.0
Gargadon | Gargadon | Sandstone Needle,1.0
Healer's Hawk | Razorverge Thicket | Wall of Vines,1.0
Invasion of Gobakhan | Mox Pearl | Mutavault,-1.0
"Karakas | Mox Ruby | Yidaro, Wandering Monster",0.0
Lightning Bolt | Mountain | Soul-Scar Mage,1.0
"Llanowar Mentor | Pendelhaven | Ulamog, the Infinite Gyre",0.0
Llanowar Reborn | Llanowar Reborn | Scythe Tiger,0.0
Memnite | Memnite | Memnite,1.0
Ancient Spring | Dreadhorde Invasion | The Ozolith,1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,-1.0
Blinkmoth Nexus | City of Traitors | Inkmoth Nexus,1.0
Botanical Sanctum | Galerider Sliver | Virulent Sliver,1.0
"Bottomless Vault | Emrakul, the Aeons Torn | Smallpox",1.0
Bottomless Vault | Forsaken Miner | Jinxed Idol,1.0
Cenn's Tactician | Sea's Claim | Undiscovered Paradise,-1.0
City of Traitors | Phyrexian Revoker | Steel Overseer,-1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",-1.0
Dark Ritual | Graveyard Trespasser | Urborg,1.0
Daze | Island | Mausoleum Wanderer,1.0
Daze | Island | Soldevi Sentry,0.0
Detention Vortex | Prairie Dog | Remote Farm,-1.0
Dunes of the Dead | Mox Ruby | Raze,0.0
Field of Ruin | Sunken Citadel | Treetop Village,0.0
Force of Negation | Misthollow Griffin | Saprazzan Cove,0.0
Forest | Hexdrinker | Pick Your Poison,-1.0
Golgari Rot Farm | Peat Bog | Piper of the Swarm,0.0
Inkmoth Nexus | Luminarch Aspirant | Mox Pearl,-1.0
"Lavinia, Azorius Renegade | Mox Pearl | Tundra",1.0
