Opponent Decklist,Result
Alpine Moon | Hammerheim | Heartfire Hero,0.5
"Alseid of Life's Bounty | Skrelv, Defector Mite | Snow-Covered Plains",1.0
Ancient Tomb | Arcbound Slith | Arcbound Slith,0.0
Bayou | Hexdrinker | Ruthless Negotiation,0.5
Collective Resistance | Collector Ouphe | Hickory Woodlot,1.0
Daze | Hexdrinker | Tropical Island,1.0
Daze | Island | Sleep-Cursed Faerie,1.0
Dreadhorde Invasion | Hymn to Tourach | Peat Bog,1.0
Gleeful Demolition | Rustvale Bridge | Unwanted Remake,-1.0
Hexdrinker | Inquisition of Kozilek | Undiscovered Paradise,0.0
Hickory Woodlot | Scythe Tiger | Serene Remembrance,1.0
Innocent Blood | Mishra's Factory | Mox Jet,1.0
Inquisition of Kozilek | Subterranean Hangar | Tomb of Urami,0.0
Legacy's Allure | Saprazzan Skerry | Tide Shaper,1.0
"Mu Yanling, Sky Dancer | Oboro, Palace in the Clouds | Sol Ring",0.0
Nature's Claim | Predator Ooze | Rushwood Grove,1.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
Reassembling Skeleton | Subterranean Hangar | Sudden Edict,1.0
