Opponent Decklist,Result
Aether Vial | Chancellor of the Tangle | Endurance,1.0
Alpine Moon | Goblin Vandal | Mountain,0.0
Ancient Tomb | Hangarback Walker | Warping Wail,1.0
Ancient Tomb | Steel Golem | Warping Wail,1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,-1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,0.0
Bitterblossom | Mishra's Factory | Mox Jet,1.0
Bloodghast | Bone Shards | Undiscovered Paradise,1.0
Bottomless Vault | Murderous Rider | Noxious Revival,1.0
Cenn's Tactician | Path to Exile | Plains,1.0
Chain of Smog | Mishra's Factory | Mox Jet,-1.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
Chancellor of the Forge | Karakas | Mana Tithe,0.0
Chancellor of the Forge | Path to Exile | Plains,1.0
Chronomaton | Dismember | Quicksand,1.0
Crashing Footfalls | Dryad Arbor | Dryad Arbor,1.0
Daze | Hexdrinker | Tropical Island,0.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Energy Field | Sleeper Agent | Sulfur Vent,-1.0
Fearless Fledgling | Ghost Town | Mox Pearl,1.0
Foil | Island | Nether Spirit,0.0
Great Hall of Starnheim | Mount Doom | Sunken Citadel,1.0
Anointed Peacekeeper | City of Traitors | Mox Pearl,-1.0
Atraxi Warden | Balance | Remote Farm,-1.0
Balance | Dunes of the Dead | Mox Pearl,-0.5
Bayou | Hexdrinker | Shrieking Affliction,-1.0
"Bottomless Vault | Murderous Rider | Ulamog, the Infinite Gyre",1.0
Bottomless Vault | Murderous Rider | Unearth,1.0
Cathedral of War | Inkmoth Nexus | Maze of Ith,1.0
"Cavern of Souls | Emmara, Soul of the Accord | Gnarlroot Trapper",1.0
Chalice of the Void | Crystalline Giant | Mishra's Workshop,0.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",-1.0
Chronomaton | Encroach | Swamp,-1.0
City of Traitors | Levitating Statue | Tel-Jilad Stylus,1.0
City of Traitors | Lupine Prototype | Lupine Prototype,-1.0
"Davriel, Rogue Shadowmage | Mana Crypt | Swamp",1.0
Daze | Island | Sleep-Cursed Faerie,0.0
Hickory Woodlot | Mayor of Avabruck | Naturalize,-1.0
Hickory Woodlot | Welcome to Sweettooth | Wheel of Sun and Moon,1.0
Inkmoth Nexus | Karakas | Leyline of Singularity,-0.5
Lotus Bloom | Lotus Bloom | Primordial Hydra,-1.0
Lupine Prototype | Mishra's Workshop | Trinisphere,0.0
Lupine Prototype | Mishra's Workshop | Wheel of Torture,-1.0
Mishra's Workshop | Phyrexian Dreadnought | Torpor Orb,-1.0
Sandstone Needle | Shattering Spree | Vexing Shusher,-1.0
