Opponent Decklist,Result
Aether Membrane | Aether Vial | Chancellor of the Tangle,1.0
Aether Vial | Karakas | Mangara of Corondor,1.0
Alpine Moon | Chronomaton | Mountain,-1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
Approach of the Second Sun | Fountain of Cho | Wall of Shards,1.0
Bitterblossom | Innocent Blood | Peat Bog,1.0
Bitterblossom | Peat Bog | Smallpox,0.5
Bojuka Bog | Cauldron Familiar | Witch's Oven,1.0
Cenn's Tactician | Concealed Courtyard | Funeral Charm,0.0
Cenn's Tactician | Path to Exile | Plains,0.0
Chancellor of the Forge | Fury | Mercadian Bazaar,1.0
Crashing Footfalls | Forest | Nature's Claim,0.0
Crashing Footfalls | Forest | Pick Your Poison,0.0
Crystal Vein | Mutavault | Void Mirror,1.0
Dark Ritual | Phylactery Lich | Vault of Whispers,-1.0
Dark Ritual | Plaguecrafter | Swamp,1.0
Deep-Cavern Bat | Mox Jet | Swamp,1.0
Drain Life | Subterranean Hangar | Sudden Edict,1.0
Dryad Arbor | Force of Despair | Grief,1.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,-1.0
"Karakas | Lavinia, Azorius Renegade | Mox Sapphire",-1.0
Mox Pearl | Mutavault | Patrol Signaler,-1.0
Phage the Untouchable | Subterranean Hangar | Sudden Edict,1.0
"Ancient Tomb | Auntie Blyte, Bad Influence | Mox Ruby",-1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,-1.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
Bitterblossom | Mox Jet | Rishadan Port,-1.0
Blighted Agent | Energy Field | Saprazzan Skerry,-1.0
Blighted Agent | Inkmoth Nexus | Mox Sapphire,-1.0
Cathedral of War | Inkmoth Nexus | Steel Overseer,-1.0
Cenn's Tactician | Seachrome Coast | Void Snare,0.0
Demolition Field | Sol Ring | Steel Overseer,0.0
Drop of Honey | Rushwood Grove | Timeless Witness,1.0
Energy Field | Sand Silos | The Millennium Calendar,-1.0
Grove of the Burnwillows | Grove of the Burnwillows | Kavu Predator,-1.0
Inkmoth Nexus | Karakas | Porphyry Nodes,1.0
Inkmoth Nexus | Liliana's Triumph | Swamp,1.0
