Opponent Decklist,Result
Ancient Den | Dryad Arbor | Dusk Rose Reliquary,0.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-1.0
Anointed Peacekeeper | Plains | Sol Ring,0.0
Bitterblossom | Mox Jet | Volatile Fault,-1.0
"Bottomless Vault | Smallpox | Ulamog, the Infinite Gyre",1.0
Cenn's Tactician | Daze | Tundra,-1.0
Cenn's Tactician | Path to Exile | Plains,1.0
Chain of Smog | Mox Jet | Mutavault,1.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
Chancellor of the Forge | Foil | Island,-1.0
Chronomaton | Karakas | Leyline of Singularity,-0.5
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",1.0
Force of Negation | Memnite | Misdirection,-1.0
Force of Negation | Misthollow Griffin | Saprazzan Cove,0.0
Hatchery Sliver | Hollow Trees | Virulent Sliver,1.0
Hexdrinker | Mox Emerald | Volatile Fault,-1.0
Lotus Bloom | Lotus Bloom | Valkyrie Harbinger,1.0
Mayor of Avabruck | Mox Emerald | Volatile Fault,-1.0
Mox Emerald | Outland Liberator | Volatile Fault,-1.0
Mox Emerald | Swarm Shambler | Volatile Fault,-1.0
Snow-Covered Mountain | Taste for Mayhem | Vault Skirge,0.0
Ancient Tomb | Archfiend of Spite | Diamond Lion,1.0
Ancient Tomb | Chalice of the Void | Phyrexian Revoker,1.0
Approach of the Second Sun | Fountain of Cho | Swords to Plowshares,1.0
Battlefield Raptor | Karakas | Leyline of Sanctity,-0.5
Bayou | Evil Presence | Swarm Shambler,-1.0
Bayou | Funeral Charm | Swarm Shambler,-0.5
Bitterblossom | Mox Jet | Rishadan Port,-0.5
Cabal Therapy | Piracy Charm | Underground Sea,0.0
Cenn's Tactician | Karakas | Leyline of Singularity,-0.5
Chancellor of the Forge | Foil | Snow-Covered Island,-1.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",0.0
Chronosavant | Icatian Store | Seasoned Hallowblade,1.0
Crashing Footfalls | Path to Exile | Savannah,1.0
Dryad Arbor | Dryad Arbor | Lush Growth,0.0
Energy Field | Saprazzan Skerry | The Millennium Calendar,1.0
Energy Field | Sleeper Agent | Sulfur Vent,1.0
Field of Ruin | Retrofitter Foundry | Sol Ring,0.0
Funeral Charm | Rimebound Dead | Snow-Covered Swamp,-0.5
"Fynn, the Fangbearer | Hickory Woodlot | Outland Liberator",1.0
Hexdrinker | Icehide Golem | Snow-Covered Forest,1.0
"Hunted Horror | The Tabernacle at Pendrell Vale | Urborg, Tomb of Yawgmoth",1.0
Island | Mishra's Factory | Sleep-Cursed Faerie,1.0
Karakas | Mox Pearl | Skrelv's Hive,0.5
"Lair of the Hydra | Llanowar Mentor | Ulamog, the Infinite Gyre",1.0
"Smallpox | The Tabernacle at Pendrell Vale | Urborg, Tomb of Yawgmoth",1.0
