Opponent Decklist,Result
Academy Researchers | Eldrazi Conscription | Lotus Bloom,1.0
Academy Ruins | Calciform Pools | The Filigree Sylex,0.0
Ancient Tomb | Mox Jet | Unstoppable Slasher,1.0
Bloodhall Ooze | Leyline of the Guildpact | The Tabernacle at Pendrell Vale,0.0
Cavern of Souls | Mistbreath Elder | Sunshower Druid,1.0
Chancellor of the Forge | Pyrokinesis | Wasteland,-1.0
"Dargo, the Shipwrecker | Great Furnace | Mana Crypt",1.0
Dark Ritual | Iridescent Vinelasher | Undiscovered Paradise,1.0
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Daze | Hexdrinker | Tropical Island,0.0
Daze | Island | Sleep-Cursed Faerie,-1.0
Freed from the Real | Hickory Woodlot | Twitching Doll,1.0
Hammerheim | Heartfire Hero | Kumano Faces Kakkazan,1.0
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,-1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,0.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,0.5
Prairie Dog | Remote Farm | Soul Partition,0.0
Remote Farm | Skrelv's Hive | Soul Partition,0.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",0.0
"Ajani, Nacatl Pariah | Leonin Relic-Warder | Remote Farm",1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Isochron Scepter | Verdant Command,1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,1.0
Atraxi Warden | Prairie Dog | Remote Farm,1.0
"Boseiju, Who Endures | Sunken Citadel | Treetop Village",0.0
Bottomless Vault | Hive of the Eye Tyrant | Inquisition of Kozilek,-1.0
Chained to the Rocks | Ocelot Pride | Plateau,0.0
Chancellor of the Forge | Foil | Island,0.0
Chancellor of the Forge | Fury | Memnite,-1.0
Crawling Barrens | Debt of Loyalty | Fountain of Cho,1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,1.0
Crystal Vein | Memnite | Sphere of Resistance,-1.0
Dreams of Steel and Oil | Scythe Tiger | Undiscovered Paradise,-1.0
Drownyard Temple | Hollow Trees | World Breaker,1.0
Forest | Llanowar Mentor | Worldspine Wurm,0.5
"Golgari Rot Farm | Grist, the Hunger Tide | Mishra's Factory",-1.0
"Karakas | Mox Pearl | Thalia, Guardian of Thraben",1.0
"Lotus Bloom | Lotus Bloom | Vraska, Relic Seeker",-1.0
Lurrus of the Dream-Den | Subterranean Hangar | Vampire of the Dire Moon,1.0
Mox Jet | Refurbished Familiar | Vault of Whispers,1.0
"Oboro, Palace in the Clouds | Scute Swarm | Simic Growth Chamber",1.0
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,-1.0
Bottomless Vault | Dread | Smallpox,0.0
Cathedral of War | Inkmoth Nexus | Sphere of Resistance,0.0
Cauldron Familiar | Urborg | Witch's Oven,1.0
Chancellor of the Forge | Plaguecrafter | Subterranean Hangar,-1.0
City of Traitors | Drillworks Mole | Phyrexian Revoker,1.0
City of Traitors | Isochron Scepter | Lightning Helix,1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,1.0
City of Traitors | Phyrexian Revoker | Steel Overseer,1.0
City of Traitors | Rackling | Sol Ring,1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",0.5
Divine Gambit | Fountain of Cho | Purity,0.0
"Emrakul, the Aeons Torn | Lotus Bloom | Show and Tell",-1.0
"Emrakul, the Aeons Torn | Sand Silos | Show and Tell",-1.0
Flash | Gruff Triplets | Saprazzan Skerry,-1.0
Flaxen Intruder | Hollow Trees | Pick Your Poison,1.0
Force of Despair | Grief | Memnite,0.0
Fountain of Cho | Path to Exile | Shrine of Burning Rage,0.0
Gruul Turf | Hellion Crucible | Wrenn and Six,1.0
Innocent Blood | Nether Spirit | Subterranean Hangar,0.0
