Opponent Decklist,Result
"Ajani, Nacatl Pariah | Remote Farm | Shire Shirriff",-1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,1.0
Ancient Tomb | Hex Parasite | Steel Overseer,-1.0
Ancient Tomb | Mox Ruby | Stingerback Terror,-1.0
Ancient Tomb | Simian Spirit Guide | Stingerback Terror,-1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",0.0
Bottomless Vault | Doomsday Confluence | Subterranean Hangar,-1.0
Bottomless Vault | Nether Spirit | Smallpox,0.0
Chancellor of the Forge | Contagion | Unmask,0.0
Court of Grace | Icatian Store | Ice Floe,0.0
Dark Ritual | Master of the Feast | Swamp,-1.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.0
Etched Slith | Peat Bog | Sheoldred's Edict,0.0
Field of Ruin | Keldon Megaliths | Sunken Citadel,-1.0
Hammerheim | Heartfire Hero | Pithing Needle,-1.0
"Icatian Store | Island Sanctuary | Ulamog, the Infinite Gyre",1.0
Ice Floe | Living Conundrum | Sand Silos,0.0
Living Conundrum | Sand Silos | Saprazzan Cove,-0.5
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",-1.0
Ancient Tomb | Lodestone Golem | Mana Vault,1.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,1.0
Angel of Sanctions | Icatian Store | Solitude,1.0
Anvil of Bogardan | Crystal Vein | Nether Spirit,0.0
Chaplain of Alms | Karakas | Leyline of Singularity,1.0
Crystal Vein | Lodestone Golem | Mana Crypt,1.0
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Dreams of Steel and Oil | Scythe Tiger | Undiscovered Paradise,-1.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",-1.0
"Elspeth, Sun's Champion | Lotus Bloom | Lotus Bloom",-1.0
Fountain of Cho | Serra the Benevolent | Solitude,1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,0.0
Invasion of Gobakhan | Mox Pearl | Mutavault,1.0
Karakas | Leyline of Singularity | Sacred Cat,1.0
"Krenko, Baron of Tin Street | Mana Crypt | Mox Ruby",-1.0
March from the Black Gate | Mox Jet | Mutavault,-1.0
Mox Emerald | Mutavault | Outland Liberator,1.0
"Phelia, Exuberant Shepherd | Prairie Dog | Remote Farm",1.0
Prairie Dog | Remote Farm | Soul Partition,1.0
Sarcomancy | Snow-Covered Swamp | Tel-Jilad Stylus,-1.0
