Opponent Decklist,Result
Alpine Moon | Hammerheim | Heartfire Hero,0.0
"Alseid of Life's Bounty | Skrelv, Defector Mite | Snow-Covered Plains",1.0
Bayou | Hexdrinker | Ruthless Negotiation,0.0
Blinkmoth Nexus | Forest | Hexdrinker,0.0
Collective Resistance | Collector Ouphe | Hickory Woodlot,0.0
Daze | Hexdrinker | Tropical Island,-0.5
Daze | Island | Sleep-Cursed Faerie,0.5
Dreadhorde Invasion | Hymn to Tourach | Peat Bog,1.0
Gleeful Demolition | Rustvale Bridge | Unwanted Remake,-0.5
Hexdrinker | Inquisition of Kozilek | Undiscovered Paradise,0.0
Hickory Woodlot | Scythe Tiger | Serene Remembrance,0.5
Innocent Blood | Mishra's Factory | Mox Jet,0.0
Inquisition of Kozilek | Subterranean Hangar | Tomb of Urami,0.5
Legacy's Allure | Saprazzan Skerry | Tide Shaper,0.0
"Mu Yanling, Sky Dancer | Oboro, Palace in the Clouds | Sol Ring",-0.5
Nature's Claim | Predator Ooze | Rushwood Grove,0.5
Prairie Dog | Remote Farm | Soul Partition,-1.0
Reassembling Skeleton | Subterranean Hangar | Sudden Edict,1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-0.5
Ancient Tomb | Mox Ruby | Stingerback Terror,-1.0
Ancient Tomb | Time Vault | Voltaic Servant,-0.5
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,-1.0
Blinkmoth Nexus | Searslicer Goblin | Simian Spirit Guide,1.0
Bottomless Vault | Unstoppable Slasher | Witch's Vengeance,1.0
Calciform Pools | Hall of Storm Giants | March of Otherworldly Light,1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,1.0
"Dryad Arbor | Grist, the Hunger Tide | Peat Bog",0.0
Dusk Rose Reliquary | Glint Hawk | Mox Pearl,0.0
Dwarven Hold | Dwarven Hold | Red Sun's Zenith,1.0
"Eiganjo, Seat of the Empire | Khalni Garden | Reluctant Role Model",0.0
Generous Plunderer | Sandstone Needle | Stasis,-1.0
Hidden Strings | Sand Silos | True-Name Nemesis,0.0
Idol of False Gods | Mox Jet | Mutavault,-1.0
Island | Sleep-Cursed Faerie | Weakstone's Subjugation,0.5
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Remote Farm | Skrelv's Hive | Soul Partition,0.0
Sarcomancy | Soured Springs | Tel-Jilad Stylus,-1.0
Ancient Tomb | Gut Shot | Phyrexian Revoker,0.0
"Ancient Tomb | Sandstone Needle | Yidaro, Wandering Monster",-1.0
Assassin Initiate | Evil Presence | Swamp,0.0
Blinkmoth Nexus | Invasion of Gobakhan | Mox Diamond,1.0
Dryad Arbor | Dryad Arbor | Lignify,1.0
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",-0.5
Hopeless Nightmare | Swamp | Tel-Jilad Stylus,1.0
Inquisition of Kozilek | Scrubland | Student of Warfare,0.0
Karakas | Leyline of Singularity | Student of Warfare,-1.0
Magus of the Vineyard | Mossborn Hydra | Undiscovered Paradise,-1.0
Miasmic Mummy | Mox Jet | Unholy Grotto,0.0
"Minsc & Boo, Timeless Heroes | Orcish Lumberjack | Taiga",-1.0
Mountain | Village Messenger | Village Messenger,1.0
Mox Emerald | Mutavault | Troublemaker Ouphe,0.0
Mox Sapphire | Mutavault | Tide Shaper,-1.0
Mutavault | Rishadan Port | The Tabernacle at Pendrell Vale,-1.0
