Opponent Decklist,Result
Alpine Moon | Hammerheim | Heartfire Hero,1.0
Alpine Moon | Scythe Tiger | Taiga,1.0
Bandit's Talent | Mishra's Factory | Mox Jet,0.0
Bilious Skulldweller | Swamp | Thoughtseize,1.0
Blazing Rootwalla | Peat Bog | Smallpox,0.5
Blinkmoth Nexus | Orzhov Basilica | Vindicate,0.0
"Bottomless Vault | Imp's Mischief | Valki, God of Lies",1.0
"Bottomless Vault | Liliana, The Last Hope | Wretched Banquet",1.0
Brain Maggot | Mox Jet | Rishadan Port,-1.0
Crystal Vein | Mox Emerald | Words of Wilding,-1.0
Dismember | Prairie Dog | Remote Farm,-1.0
Ensoul Artifact | Mistvault Bridge | Mox Sapphire,-0.5
Fountain of Cho | Prairie Dog | Starfall Invocation,1.0
Fountain of Cho | The Wandering Emperor | Winds of Abandon,-1.0
Ghost Town | Hickory Woodlot | Scute Swarm,-1.0
Khalni Garden | Mistbreath Elder | Sunshower Druid,1.0
Leyline of Sanctity | Living Conundrum | Saprazzan Cove,0.0
Planar Nexus | Urza's Tower | Walking Ballista,-1.0
Remote Farm | Skrelv's Hive | Steel Overseer,0.0
Sand Silos | Surge Engine | Welding Jar,1.0
Saprazzan Skerry | Spellstutter Sprite | Unsubstantiate,0.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,-1.0
Ancient Tomb | Phyrexian Revoker | Steel Overseer,-1.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
Anointed Peacekeeper | Crystal Vein | Lotus Petal,-1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,-1.0
"Anzrag, the Quake-Mole | Dwarven Hold | Laser Screwdriver",1.0
Archon of Cruelty | Saprazzan Cove | Show and Tell,-1.0
Consign to Memory | Phyrexian Dreadnought | Sand Silos,1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,1.0
Forest | Hexdrinker | Mental Misstep,1.0
Hammerheim | Heartfire Hero | Lightning Bolt,0.5
High Market | Mox Sapphire | Sinister Concierge,-0.5
Invasion of Gobakhan | Mishra's Factory | Mox Pearl,-1.0
Island | Sea's Claim | Slippery Bogle,1.0
Lotus Bloom | Mental Misstep | True-Name Nemesis,0.5
Peat Bog | Smallpox | Tribute to Horobi,0.5
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",-1.0
