Opponent Decklist,Result
Academy Ruins | Dreadship Reef | The Filigree Sylex,-1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Isochron Scepter | Verdant Command,0.0
Chancellor of the Forge | Foil | Island,1.0
Chancellor of the Forge | The Tabernacle at Pendrell Vale | Wasteland,0.0
Crystal Vein | Lodestone Golem | Mana Vault,1.0
Daze | Island | Sleep-Cursed Faerie,-1.0
Forest | Hexdrinker | Wasteland,-1.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,-1.0
Hexdrinker | Mox Emerald | Wasteland,-1.0
Hope of Ghirapur | Wasteland | Welding Jar,0.5
Legacy's Allure | Lighthouse Chronologist | Saprazzan Cove,1.0
Mana Tithe | Plains | Speaker of the Heavens,1.0
Memnite | Snow-Covered Swamp | Specter's Shriek,0.5
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Mox Pearl | Mutavault | Skrelv's Hive,-1.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,0.0
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",0.0
Plains | Student of Warfare | Unwanted Remake,1.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",0.0
Sleep-Cursed Faerie | Undiscovered Paradise | Unwanted Remake,-1.0
Abrade | Sandstone Needle | Vexing Shusher,1.0
Alpine Moon | Swarm Shambler | Taiga,-1.0
Approach of the Second Sun | Fountain of Cho | Path to Exile,-1.0
Balance | Crashing Footfalls | Tinder Farm,-1.0
Balance | Mox Pearl | Mutavault,-1.0
Bayou | Cabal Therapy | Young Wolf,1.0
Bitterblossom | Ebon Stronghold | Vebulid,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
Chaplain of Alms | Icatian Store | Stroke of Midnight,-0.5
City of Traitors | Elixir of Immortality | Lupine Prototype,0.0
City of Traitors | Time Vault | Voltaic Servant,-1.0
Crashing Footfalls | Dryad Arbor | Swarm Shambler,1.0
Crashing Footfalls | Glistener Elf | Pendelhaven,1.0
Crashing Footfalls | Piracy Charm | Tropical Island,0.5
Crystalline Giant | Lupine Prototype | Mishra's Workshop,1.0
Ferropede | Meekstone | Mishra's Workshop,1.0
Force of Despair | Memnite | Unmask,1.0
Fume Spitter | Lupine Prototype | Peat Bog,1.0
Illusionary Mask | Mishra's Workshop | Phyrexian Dreadnought,1.0
Inkmoth Nexus | Petrified Field | The Tabernacle at Pendrell Vale,-1.0
Invasion of Gobakhan | Mox Pearl | Mutavault,-1.0
Mind Rake | Mishra's Factory | Mox Jet,-1.0
Reality Shift | Sand Silos | Sphinx of the Final Word,-1.0
Reassembling Skeleton | Shrieking Affliction | Subterranean Hangar,-1.0
Sandstone Needle | Steel Overseer | Wild Magic Surge,-1.0
Sandstone Needle | Wild Magic Surge | Wild Magic Surge,0.0
Alpine Moon | Crashing Footfalls | Undiscovered Paradise,-1.0
Ancient Tomb | Animation Module | Chronomaton,1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-0.5
Angel of Sanctions | Icatian Store | Solitude,-1.0
Anvil of Bogardan | Cathedral of War | Inkmoth Nexus,-1.0
Bayou | Cabal Therapy | Scythe Tiger,-1.0
Bitterblossom | Cabal Therapy | Peat Bog,1.0
Blooming Marsh | Cabal Therapy | Crashing Footfalls,1.0
Blooming Marsh | Crashing Footfalls | Evil Presence,0.0
Channel | Hickory Woodlot | Karn Liberated,-1.0
Charming Prince | Leonin Relic-Warder | Remote Farm,-1.0
Chronomaton | Karakas | Leyline of Singularity,0.0
Crashing Footfalls | Path to Exile | Savannah,0.0
