Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,1.0
Academy Ruins | Dreadship Reef | The Filigree Sylex,1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Phyrexian Revoker | Warping Wail,0.0
"Arcbound Ravager | Mana Crypt | Syr Ginger, the Meal Ender",0.0
Assassin's Trophy | Chancellor of the Forge | Geothermal Crevice,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,0.0
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
Curse of Silence | Ocelot Pride | Plains,-1.0
Darksteel Citadel | Ice Floe | The Millennium Calendar,1.0
Daze | Sleep-Cursed Faerie | Volcanic Island,-1.0
Dismember | Hammerheim | Heartfire Hero,-1.0
Dreams of Steel and Oil | Hexdrinker | Undiscovered Paradise,-1.0
Etched Slith | Mishra's Factory | Mox Jet,-1.0
Fountain of Cho | The Wandering Emperor | Winds of Abandon,0.0
Get Lost | Remote Farm | Skrelv's Hive,-1.0
Goblin Guide | Goblin Guide | Mountain,0.0
"Hollow Trees | Song of the Dryads | Wilson, Refined Grizzly",1.0
Mountain | Nether Spirit | Sonic Seizure,0.0
Ocelot Pride | Ocelot Pride | Plains,0.0
Phyrexian Processor | Planar Nexus | Urza's Tower,-1.0
